PPN	Signatur_PPN	Objekttitel	Reihentiteltitel	"Sprachen"	Objektbeschreibung	Umfang	Weitere Nummer (Typ Signatur)	Weitere Nummer (Signatur)	Weitere Nummer (Typ Verlagsnr.)	Weitere Nummer (Verlagsnr.)	Weitere Nummer (Typ UPC)	Weitere Nummer (UPC)	Weitere Nummer (Typ Matrix)	Weitere Nummer (Matrix)	Datum	"Ort"	Label	"Schlagwörter"	Teilsammlung (AMA)	Weitere Informationen	Merkmale	Interpret	Ereignis	"GND-URL"	"GND-Name"	"Rolle"	"Name"	"Bemerkung"	
102227535	Af 7 1071 102227535	Lumumba Patrice : les cinquante derniers jours de sa vie / par G. Heinz et H. Donnay		"fre"		195 Seiten ; Illustrationen ; 2 Schallfolien (33 Upm ; 18 cm)	Signatur	Af 7 1071							1966	"Bruxelles"	C. R. I. S. P.	"Geschichte,Politik,Unabhängigkeit,DR Kongo, Zaire,Tondokument"	2000/830	Schallfolien-Beil. u.d.T.: Patrice Lumumba parle			Veröffentlichung (musikalisches Werk)	",,http://d-nb.info/gnd/118575295"	",,Lumumba, Patrice É."	"Beteiligte Person/Körperschaft,Beteiligte Person/Körperschaft,Beteiligte Person/Körperschaft"	"Heinz, G.,Donnay, H.,Lumumba, Patrice É."	",,1925-1961"	
109708202	CD 2606 109708202	Ngoma : the early years, 1948 – 1960 / [Diverse Interpret*innen]		"und"	Enth.: Marie-Louise, 1948 - Nabuyasaki yo kokota te na ndako na ngai - Ekoko bata - Chérie bondowe - Yen vavanga - Paul Kamba atiki biso - Babengaki biso toboyi - Njila ya ndolo - Liwa ya koko Albert - Tokanisa tata ngoma - Bibi Sultani - Bibi Yangu - Bibi Bertha Mosoko - Congo ya biso basi bayebi kolata - Année 59 - Cherie toyokana malamu - Nabala muluba - Cha cha cha bay - Batu ya monoko - Guigui - Mbila na biso - Pyramide - Maria tchebo - Tout le monde samedi soir - Marie-Louise, 1958	1 CD (77:39) ; Stereo, digital ; 12 cm ; 1 Booklet [26 S. : zahlr. Ill.]	Signatur	CD 2606	Verlags-Bestellnummer	Popular African Music PAMAP 101	Produkt-Nummer	4012454985129			1996	"Frankfurt Main"	Popular African Music	""	66.20/1711.FH	„In cooperation with Archiv der Musik Afrikas, Institut für Ethnologie und Afrikastudien, Universität Mainz“ - „All tracks licensed from A. Jéronimidis”			Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/3055419-6"	"Ngoma (Kinshasa)"	"Beteiligte Person/Körperschaft"	"Ngoma"	""	
109708237	CD 2605 109708237	Ngoma : souvenir ya l’indépendance / [Diverse Interpret*innen]		"und"	Enth.: Kongo nsi eto - Tokanisa Kongo ya biso - Bukole - Muana nkento bebele - Louise Maarie wa motema - Chérie akimi ngai - Seven o’clock - Ekedy - Bolingo ya mosika mabé - Les @jeunes de Beguen - Rythmo de mi coraco - Mu nzila n’sona - Merengue rumba rumba - El @rythmo novelty - Independance 28 nov. - Jazz mango - Tukanga nzila - Gouvernement ya Congo - Tata sendue na Katanga - Ukala na ndeke - Yakolimwa mabé - Indépendance - La @communauté - Souvenir ya l’indépendance - Kongo na beto	1 CD (76:26) ; Stereo, digital ; 12 cm ; 1 Booklet [20 Seiten : zahlr. Ill.]	Signatur	CD 2605	Verlags-Bestellnummer	Popular African Music PAMAP 102	Produkt-Nummer	4012454985228			1997	"Frankfurt Main"	Popular African Music	""	66.20/1711.FH	„In cooperation with Archiv der Musik Afrikas, Institut für Ethnologie und Afrikastudien, Universität Mainz“ - „All tracks licensed from A. Jéronimidis”			Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/3055419-6"	"Ngoma (Kinshasa)"	"Beteiligte Person/Körperschaft"	"Ngoma"	""	
121696715	R 1865 121696715	Live recording of the Afro European Tour / "Franco" Luambo Makiadi & his O.K. Jazz		"und"	Enthält: Oh! Miguel. Sala lokola luntadila. Malou-o bijou. Bomba, bomba, mabe. Na vanda bombanda. Libala ya bana na bana. Lisolo ya Adamu na Nzambe. Mama na Bebe. Meta Mama na Bana. Mbongo	2 Schallpl. in Album ; 33 UpM, Stereo ; 30 cm	Signatur	R 1865	Verlags-Bestellnummer	360.114 B & 360.115 B			Matrix-Nummer	Matrix-Nr.: 360114A JSI;360114B JSI;360115A JSI;360115B JSI	1978	"Paris"	African	"Musik,Kongo,Populäre Musik"	2004/351	Matrix-Nr.: 360114A JSI;360114B JSI;360115A JSI;360115B JSI - "Enregistrement Original, Fonior S.A., Belgique, ℗ 1978"		Interpr.: Franco. Orchestre O.K. Jazz	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1034498649,http://d-nb.info/gnd/3015656-7"	"Franco, Musiker,Tout-Puissant OK Jazz"	"Interpretation (durch),Interpretation (durch)"	"Franco <Musiker>,Tout-Puissant OK Jazz"	"1938-1989,"	
121697770	R 900 121697770	The best ambiance / Bibi Dens Tshibayi		"und"	Enth.: The best ambiance. Sawambé. Elisa Kouadio. Le même	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 900	Verlags-Bestellnummer	Sacko S.P.008			Matrix-Nummer	Matrix-Nr. SP 08 A;SP 08 B	1982	"Abidjan"	Sacko Prod.	"Musik,Kongo,Populäre Musik"	55.506	Matrix-Nr. SP 08 A;SP 08 B		Interpr.: Bibi Den's Tshibayi	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1052966411"	"Tshibayi, Bibi Den's"	"Interpretation (durch)"	"Tshibayi, Bibi Den's"	"1954-"	
121698912	R 902 121698912	Phénomène : la reine Cléopatre / Mbilia Bel		"lin,fre"	Enth.: Phénomène. Manzil-Manzil. Cher ami. Mayavale. Tika-Bazuwa. Sans frontière	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 902	Verlags-Bestellnummer	MCB 001	Produkt-Nummer	3307513500117	Matrix-Nummer	Matrixnummern: AM MCB 001 A2, AM MCB 001 B2	1988	"Montigny les Cormeilles"	Creation PIM 2001 Willybiro	"Musik,Kongo,Populäre Musik"	71.294	Matrixnummern: AM MCB 001 A2, AM MCB 001 B2		Interpr.: Mbilia Bel	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1074023617"	"Bel, M'bilia"	"Interpretation (durch)"	"Bel, M'bilia"	"1959-"	
121903990	R 2354 121903990	Johnny Bokelo et son Orchestre Conga. Dewayon et Orchestre Cobantou	L'Afrique danse	"und"	Enth.: Cathérine. Cis-Ca. 69 Année de travail. Navanda Ndumba. F.C. Dragons. Jeanine. Youyou. Skol. Succès ya Toyota. Bolingo ya mbongo. Francisca	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 2354	Verlags-Bestellnummer	360.007					1969	"Paris"	African	"Musik,Kongo,Populäre Musik"	2004/332				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1062802179,http://d-nb.info/gnd/107950172X,http://d-nb.info/gnd/3072366-8,http://d-nb.info/gnd/3058820-0,http://d-nb.info/gnd/3058821-2"	"Bokelo, Johnny,Dewayon,Conga Succès (Musikgruppe),Orchestre Cobantou (Musikgruppe),Orchestre Vox-Negros"	"Interpretation (durch),Beteiligte Person/Körperschaft,Interpretation (durch),Interpretation (durch),Interpretation (durch)"	"Bokelo, Johnny,Dewayon,Conga Succès,Orchestre Cobantou,Orchestre Vox-Negros"	"193X-1995,,,,"	
121905489	R 315 121905489	 / Orchestre Negro Succes	Merveilles du passé	"lin"	Enth.: Magie. Bila Francois. Nakota Zebola. Ngai Mwana 15 ans. Bholen Mwana ya Mama Helene. Mabe ya Mbila. Maboke Temoin. Moyeke ya Cherie. Maika. Savon ya Sika Astra - Interpr.: Orchestre Negro Succes	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 315	Verlags-Bestellnummer	African 360.013					1970	"Paris"	African (Sonodisc)	"Musik,Kongo,Lingala,Populäre Musik"	2004/331		Slg. Jockers		Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/3059012-7"	"Orchestre Negro Succes"	"Interpretation (durch)"	"Orchestre Negro Succes"	""	
121906280	R 1259 121906280	OK Jazz 1960/62 [Vol. 2] / OK Jazz	Authenticité	"und"	Enth.: Yamba Leo. Gueno cha-cha. Mbeko ya Mama. Sabina el Kwamy. Kitoko ezali mayele te. Mabanzo makeyi mosika. Kokende mabe boye. Teben Matida. Mwasi na lingaki. Kaya oyokela ngai	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 1259	Verlags-Bestellnummer	360.125			Matrix-Nummer	Matrix-Nr.: 360125A JSI;360125B JSI	1964	"S.l."	African	"Musik,Kongo,Populäre Musik"	56.909	Matrix-Nr.: 360125A JSI;360125B JSI			Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1034498649,http://d-nb.info/gnd/3015656-7"	"Franco, Musiker,Tout-Puissant OK Jazz"	"Interpretation (durch),Interpretation (durch)"	"Franco <Musiker>,Tout-Puissant OK Jazz"	"1938-1989,"	
121910601	R 1860 121910601	Seigneur Ley on Tour / Tabu Ley et Orchestre Afrisa International		"und"	Enth.: Vol.1: Ponce Pilate. Kiyedi. Balingaka Ngai. Safi Zena. Vol. 2: Sorozo. Ibrahim. Sukaina. Nakoka.	2 Schallpl. in Album ; 33 UpM ; 30 cm	Signatur	R 1860	Verlags-Bestellnummer	360.119 B + 360.120 B					1978	"Paris"	African	"Musik,Kongo,Populäre Musik"				Interpr.: Tabu Ley Rochereau. Orch. Afrisa International	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/134782542,http://d-nb.info/gnd/3028408-9"	"Ley, Tabu,Afrisa International Orchestra"	"Interpretation (durch),Interpretation (durch)"	"Ley, Tabu,Afrisa International Orchestra"	"1940-2013,"	
