PPN	Signatur	Signatur_PPN	Product	DateCreated	Artist	
122339762	R 447	R 447 122339762	L'Afrique Danse / [div. Interpreten] - African (Sonodisc)	1966	Kabasele, Joseph / Kwami / Bavon / Bholen / Robin, ... / African Jazz / Orchestre Negro Succes	
122339878	R 2359	R 2359 122339878	S.O.S. Passe Partout / Lubumbashi Stars - Sonodisc	1994	Lubumbashi Stars	
122339975	R 2360	R 2360 122339975	African Jazz / Orch. African Jazz - African	1964	African Jazz	
122340043	R 2349	R 2349 122340043	Orchestre OK Jazz, Conga Succès ... - African	1966	Franco <Musiker> / Bokelo, Johnny / Mujos / Longomba, Victor / Alberto / Mogo / Conga Succès / Tout-Puissant OK Jazz	
122363213	R 2361	R 2361 122363213	Aladji / Sam Mangwana - Shanachie Records	1989	Mangwana, Sam	
122363442	R 2366	R 2366 122363442	Fatimata - Capita Général / Sam Mangwana - Surya	1986	Mangwana, Sam	
122847334	R 2213	R 2213 122847334	Volume 2 / Kalle & L'African Team - African, Sofrason (Distr.)	1970	Kabasele, Joseph / African Team de Paris	
122847520	R 2332	R 2332 122847520	Bridge over the Congo / O.K. Jazz, Orchestre Bantous, Orchestre Cercul - Parlophone (EMI)	1964	Tout-Puissant OK Jazz / Les Bantous de la Capitale / Orchestre Cercul Jazz	
122847903	R 314	R 314 122847903	 / Orchestre Conga Succes - African (Sonodisc)	1970	Bokelo, Johnny / Conga Succès	
122848012	R 2228	R 2228 122848012	Dernière Mémoire / Docteur Nico & Empompo Deyesse - 	1990	Nico <Docteur> / Deyesse, Empompo	
122848160	R 2357	R 2357 122848160	Tyka 'ngai / Pablo Lubadika - Voix d'Afrique	1984	Pablo <Musiker>	
122848284	R 781	R 781 122848284	C'est comme ça la vie / Seigneur Rochereau Tabu Ley et le consortium Musical: AFRISA International - Genidia, Sonodisc (Distr.)	1989	Ley, Tabu / Afrisa International Orchestra	
122848365	R 319	R 319 122848365	Attention na Sida : le Grand Maître Franco interpelle la société / Franco - African Sun Music	1987	Franco <Musiker> / Tout-Puissant OK Jazz	
122848497	R 049	R 049 122848497	Succès d'hier / Rochereau et l'orch. African Fiesta ... - African (Sonodisc)	1964	Ley, Tabu / Bholen / African Fiesta / Orchestre Negro Succes / African Jazz	
122848608	R 300	R 300 122848608	Eternel Docteur Nico [2] / Docteur Nico et l'Orchestre African Fiesta - African (Sonodisc)	1986	Nico <Docteur> / African Fiesta	
122848691	R 2234	R 2234 122848691	Femme d'autrui / Seigneur Ley Rochereau avec l'orchestre l'Afrisa International - Genidia, Sonodisc (Distr.)	1983	Ley, Tabu / Afrisa International Orchestra	
122849132	R 405	R 405 122849132	Choc à distance / Loketo, le no. 1 du Soukouss - J.I.P. - Jimmy Hoetinou Intern. Production	1989	Mabélé, Aurlus / Loketo	
122850807	R 2042	R 2042 122850807	Ominga / Mbilia Bel et Abby Surya - Tamaris	1989	M'Pompon / Pépé Kallé / Bel, M'bilia / Surya, Abby	
122851323	R 295	R 295 122851323	 - African	1985	Ley, Tabu / Mangwana, Sam / African Fiesta	
122851404	R 458	R 458 122851404	Le Seigneur Rochereau á l'Olympia / Seigneur Rochereau - African (Sonodisc)	1971	Ley, Tabu	
122851536	R 2338	R 2338 122851536	Ave Maria Limbisa / Les Bantous de la Capitale Bakolo M'boka - Bade Stars	1987	Les Bantous de la Capitale	
122851560	R 2233	R 2233 122851560	Ki-Makango mpe libala / Le Seigneur Rochereau et l'African Fiesta National Le Peuple - African	1969	Ley, Tabu / African Fiesta	
122851617	R 2232	R 2232 122851617	Dernières Nouveautés / Tabu Ley "Rochereau" et l'Orchestre Afrisa International - African, Sonodisc (Distr.)	1979	Ley, Tabu / Afrisa International Orchestra	
122851633	R 2198	R 2198 122851633	Éditions populaires / Franco et l'Orchestre TP OK Jazz - African	1974	Franco <Musiker> / Tout-Puissant OK Jazz	
122851749	R 2212	R 2212 122851749	Volume 3 / Kalle & L'African Team - African, Sofrason (Distr.)	1970	Kabasele, Joseph / African Team de Paris	
122887468	R 410	R 410 122887468	Cherche une maison à louer pour moi chéri / Le Grand maitre Franco - Nana - Baniel et le T.P. O.K. Jazz - African Sun Music	1988	Franco <Musiker> / Tout-Puissant OK Jazz / Baniel et Nana	
122887573	R 2372	R 2372 122887573	Live chez "Un-Deux-Trois" à Kinshasa / Orchestre T.P. O.K. Jazz - Éditions Populaires, African	1977	Franco <Musiker> / Tout-Puissant OK Jazz	
122887638	R 309	R 309 122887638	Franco et l'O.K. Jazz / Franco et l'Orchestre O.K. Jazz - Sonodisc (African)	1986	Franco <Musiker> / Tout-Puissant OK Jazz	
122887867	R 293	R 293 122887867	Belle époque, Vol. 1 / Seigneur Rochereau Tabu Ley & L'African Fiesta - Sonodisc (African)	1970	Ley, Tabu / African Fiesta	
122887905	R 294	R 294 122887905	Volume 2 / Seigneur Rochereau Tabu Ley & L'African Fiesta - Sonodisc (African)	1971	Ley, Tabu / African Fiesta	
122888014	R 075	R 075 122888014	Vol. 4 / Seigneur Rochereau et l'African Fiesta National - African (Sonodisc)	1969	Ley, Tabu / African Fiesta	
122888251	R 051	R 051 122888251	Le Seigneur Rochereau et l'Orchestre African Fiesta National "Le Peuple" / Rochereau et l'Orchestre African Fiesta - African	1969	Ley, Tabu / African Fiesta	
12288857X	R 296	R 296 12288857X	African Fiesta / Depuissant ; Dechaud ; Rochereau ; Mujos ; Izeidi. African Fiesta - African (Sonodisc)	1986	Depuissant / Mwamba, Charles / Ley, Tabu / Mujos / Izeidi, Roger / African Fiesta	
122888731	R 939	R 939 122888731	African Fiesta / African Fiesta. Rochereau ... - African	1965	Ley, Tabu / African Fiesta	
122888995	R 316	R 316 122888995	OK Jazz : vol. 4 / Orch. O.K. Jazz - African	1963	Franco <Musiker> / Tout-Puissant OK Jazz	
12288924X	R 2216	R 2216 12288924X	Cé Chàlè Carnaval - Tiembe Rai͏̈d Pa Moli : remix / Pepe-Kalle - Afro Rhythmes, Mélodie (Distr.)	1990	Pépé Kallé	
12289104X	R 1800	R 1800 12289104X	N'kolo m'boka : Jamais sans nous / Zai͏̈ko Langa Langa - Tamaris	1994	Zaïko Langa Langa	
122891201	R 1846	R 1846 122891201	Éditions populaires, 10e anniversaire : 1965 - 1975 / Luambo Makiadi & Orchestre OK Jazz - African	1976	Franco <Musiker> / Tout-Puissant OK Jazz	
122891406	R 1845	R 1845 122891406	OK Jazz : vol. 3 / Orch. O.K. Jazz - African	1964	Franco <Musiker> / Tout-Puissant OK Jazz	
12289152X	R 1844	R 1844 12289152X	La voix des ancêtres / Princess Mansia M'Bila - M.M. Records	1991	M'Bila, Mansia	
122891597	R 2196	R 2196 122891597	Attaquent Anjela / Le Grand Maitre Franco - Pepe Ndombe et le T.P.O.K. Jazz - Choc/African Sun Music	1988	Franco <Musiker> / Ndombe, Pepe / Tout-Puissant OK Jazz	
122891724	R 2339	R 2339 122891724	The Missa Luba / Les Troubadours du Roi Baudouin ; arranged and conducted by Pére Guido Haazen, O.F.M. - Philips	1969	Haazen, Guido / Troubadours du Roi Baudouin	
122891783	R 2340	R 2340 122891783	Missa Luba : a mass sung in pure congolese style, and native songs of the congo / sung by Les Troubadours du Roi Baudouin ; directed by Père Guido Haazen - Philips	1965	Haazen, Guido / Troubadours du Roi Baudouin	
122892151	R 415	R 415 122892151	Abeti (en colère) / Abeti - Bade Star Music	1987	Abeti	
122892275	R 297	R 297 122892275	Hommage au Grand Kallé, Vol. 1 : un pionnier de la chanson africaine / Joseph Kabassélé et L'African Jazz - Sonodisc (African)	1984	Kabasele, Joseph / Mwamba, Charles / Ley, Tabu / Mujos / Nico <Docteur> / African Jazz	
122892305	R 298	R 298 122892305	Hommage au Grand Kallé, Vol. 2 : un pionnier de la chanson africaine / Joseph Kabassélé et L'African Jazz - Sonodisc (African)	1984	Kabasele, Joseph / Longomba, Victor / Nico <Docteur> / Mwamba, Charles / African Jazz	
122892356	R 2211	R 2211 122892356	Gauche/droite=débordement / Le Grand Kalle, Don Gonzalo, Manu Dibango et l'African Team - African, Sofrason (Distr.)	1970	Kabasele, Joseph / Gonzalo, Don / Dibango, Manu / African Team de Paris	
122892402	R 2235	R 2235 122892402	Babeti soukous / Tabu Ley Seigneur Rochereau and Afrisa International Orchestra - Realworld Records	1989	Ley, Tabu / Afrisa International Orchestra	
122985192	R 444	R 444 122985192	Soum-Djoum / Seigneur Tabu Ley Rochereau et Afrisa de l'an 2000 [Orch. Afrisa International] - Genidia (Sonodisc)	1989	Ley, Tabu / Afrisa International Orchestra	
122985303	R 445	R 445 122985303	Ebouroumounkoue / Beyou Ciel par le Seigneur Ley et l'Orchestre Afrisa International - Genidia (Sonodisc)	1988	Ciel, Beyou / Ley, Tabu / Afrisa International Orchestra	
122985435	R 2371	R 2371 122985435	Nsele paradis ya Congo / L'incomparable Gérard Kazembe et son Orchestre Jambo-Jambo - African	1971	Kazembe, Gérard / Orchestre Jambo-Jambo	
122985583	R 2197	R 2197 122985583	Franco et l'O.K. Jazz à Paris / Franco. Orchestre O.K. Jazz - Pathé Marconi (EMI)	1970	Franco <Musiker> / Tout-Puissant OK Jazz	
122985745	R 047	R 047 122985745	Vol.1 / Kalle et L'Ensemble African Team de Paris ... - African	1968	Kabasele, Joseph / Ley, Tabu / Kasabelle / Mounk'a, Pamelo / African Team de Paris / African Fiesta / Conga Succès / African Jazz / Orchestre Negro Succes / Orchestre Vox Africa	
122985982	R 048	R 048 122985982	Vol. 2 / Orchestre African Fiesta ... - African	1968	Nico <Docteur> / Bokelo, Johnny / Pierrot, Don / Dewayon / African Fiesta / Conga Succès / Orchestre Vox Africa / Orchestre Cobantou / Tout-Puissant OK Jazz / African Jazz	
122986105	R 1867	R 1867 122986105	African Party / Franco & l'Orchestre T.P. O.K. Jazz - African	1977	Franco <Musiker> / Tout-Puissant OK Jazz	
122986415	R 1868	R 1868 122986415	Les merveilles du passé / Orchestre African Fiesta - African, Sonodisc (Distr.)	1970	Izeidi, Roger / African Fiesta	
122986512	R 1870	R 1870 122986512	Congo? Bolingo! / [div. Interpreten] - Columbia/EMI	1968	Nzié, Anne-Marie / Orchestre Negro Band / Tout-Puissant OK Jazz / Orchestre Bantou / Orphee Jazz / Orchestre Cercul Jazz	
122986636	R 1869	R 1869 122986636	Grand succès de l'orchestre OK Jazz / Orchestre OK Jazz - African	1977	Franco <Musiker> / Tout-Puissant OK Jazz	
123133033	R 2033	R 2033 123133033	Casamance / Kibwe - Octet Music	1985	Kibwe	
123483085	R 2193	R 2193 123483085	The sound of Kinshasa : guitar classics from Zaire / Compiled & produced by John Storm Roberts. [Diverse Interpreten] - Original Music	1990	Roberts, John Storm	
123483700	R 2192	R 2192 123483700	Guitar songs from Tansania, Zambia & Zaire / Producer: John Storm Roberts - Original Music	1990	Roberts, John Storm / Abelo, Losta / Yirung, Kayembe / Nambi, Soki / Mkwawa, Joseph / Piana, Chola / mwaKitime, Francis	
124193323	R 989	R 989 124193323	Le bucheron / Franklin Boukaka. Arr. et dir. orchestre Manu Dibango - Sonafric	1974	Boukaka, Franklin / Dibango, Manu / Boukaka, Franklin	
124393756	R 1848	R 1848 124393756	Holiday in Afrika / [div. Interpreten] - Columbia, Electrola	1975	Franco <Musiker> / Les Bantous de la Capitale / Orchestre Mando Negro Kwala Kwa / Tout-Puissant OK Jazz / Orchestre Sinza / Orchestre Hi-Fives	
124630332	R 2063	R 2063 124630332	Virunga volcano / Samba Mapangala & Orchestre Virunga - Earthworks/Virgin Records	1990	Mapangala, Samba / Samba Mapangala et son Orchestre Virunga	
124652131	R 2077	R 2077 124652131	20th Anniversary : 1956-1976 special edition / Baba Gaston & Orchestre Baba National - Apollo	1976	Baba Gaston / Orchestre Baba National	
