PPN	GND-ID	GND-Name	GND-JSON	Kategorie	Rolle	Name	Bemerkung	
125668686	1252266537	Kiland, L.M.	{"frontendLanguage":"de","_fulltext":{"text":"Kiland Kiland - L.M. Kongo (Republik) L.M. Kiland Musiker Männlich Religion Republik Kongo Songwriter "},"conceptURI":"https://d-nb.info/1252266537","_standard":{"text":"Kiland, L.M."},"conceptName":"Kiland, L.M."}	028C	$4:cmp	Kiland, L.M.		
125668686	3060499-0	Orchestre Momeko	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060499-0 Allgemeines, Interdisziplinäre Allgemeinwörter Kongo (Republik) Musik (Allgemeines), Musikgeschichte "},"conceptURI":"https://d-nb.info/3060499-0","_standard":{"text":"Orchestre Momeko"},"conceptName":"Orchestre Momeko"}	029F	$4:prf	Orchestre Momeko		
125668724	1252266537	Kiland, L.M.	{"frontendLanguage":"de","_fulltext":{"text":"Kiland Kiland - L.M. Kongo (Republik) L.M. Kiland Musiker Männlich Religion Republik Kongo Songwriter "},"conceptURI":"https://d-nb.info/1252266537","_standard":{"text":"Kiland, L.M."},"conceptName":"Kiland, L.M."}	028A	$4:cmp	Kiland, L.M.		
125668724	3060499-0	Orchestre Momeko	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060499-0 Allgemeines, Interdisziplinäre Allgemeinwörter Kongo (Republik) Musik (Allgemeines), Musikgeschichte "},"conceptURI":"https://d-nb.info/3060499-0","_standard":{"text":"Orchestre Momeko"},"conceptName":"Orchestre Momeko"}	029F	$4:prf	Orchestre Momeko		
125668767				028A	$4:cmp	Kimenay		
125668767	3060500-3	Orchestre Kiamono	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060500-3 Allgemeines, Interdisziplinäre Allgemeinwörter Kongo (Republik) Musik (Allgemeines), Musikgeschichte "},"conceptURI":"https://d-nb.info/3060500-3","_standard":{"text":"Orchestre Kiamono"},"conceptName":"Orchestre Kiamono"}	029F	$4:prf	Orchestre Kiamono		
125668821				028A	$B:	Africanova, Anthony		
125668821				028C	$4:pro	Fombe, George		
125668821	3060490-4	Orchestre Super Jambo	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060490-4 Allgemeines, Interdisziplinäre Allgemeinwörter Kongo (Republik) Musik (Allgemeines), Musikgeschichte "},"conceptURI":"https://d-nb.info/3060490-4","_standard":{"text":"Orchestre Super Jambo"},"conceptName":"Orchestre Super Jambo"}	029E	$B:	Orchestre Super Jambo		
125668872				028A	$B:	Kaba Kaba, Bibi		
125668872				028C	$4:pro	Fombe, Georges		
125668872	3060495-3	Kinois Band	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060495-3 Allgemeines, Interdisziplinäre Allgemeinwörter Kongo (Republik) Musik (Allgemeines), Musikgeschichte "},"conceptURI":"https://d-nb.info/3060495-3","_standard":{"text":"Kinois Band"},"conceptName":"Kinois Band"}	029E	$B:	Kinois Band		
125670052				028E	$B:	Kasanaut, D.		
125670052	3059239-2	Orchestre Negro Band (Musikgruppe)	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3059239-2 Allgemeines, Interdisziplinäre Allgemeinwörter Kongo (Demokratische Republik) Kongo (Republik) Le Negro Band Massengo, Max Musik (Allgemeines), Musikgeschichte Musikgruppe Negro Band Negro Band A Tout Casser Orchestre Negro-Band Republik Kongo "},"conceptURI":"https://d-nb.info/3059239-2","_standard":{"text":"Orchestre Negro Band (Musikgruppe)"},"conceptName":"Orchestre Negro Band (Musikgruppe)"}	029A	$B:	Orchestre Negro Band		
125670206	1228372012	Flammy, K.P.	{"frontendLanguage":"de","_fulltext":{"text":"Flammy Flammy, P. Flamy Flamy, K.P. Flamy, P. K. P. Flamy et Son Orchestre Jazz Beguen Kiyika Masamba Kongo (Republik) Musiker Männlich Religion Republik Kongo "},"conceptURI":"https://d-nb.info/1228372012","_standard":{"text":"Flammy, K.P."},"conceptName":"Flammy, K.P."}	028A	$4:cmp	Flammy, K.P.	1936-	
125670206	3059064-4	Orchestre Beguen Band	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3059064-4 Allgemeines, Interdisziplinäre Allgemeinwörter Beguen Band Beguen-Band Jazz Beguen Kongo (Republik) Musik (Allgemeines), Musikgeschichte Musikgruppe Orchestre Beguen-Band Orchestre Jazz Beguen Republik Kongo "},"conceptURI":"https://d-nb.info/3059064-4","_standard":{"text":"Orchestre Beguen Band"},"conceptName":"Orchestre Beguen Band"}	029F	$4:prf	Orchestre Beguen Band		
125670648	1179485637	Fely, Pépé	{"frontendLanguage":"de","_fulltext":{"text":"Demokratische Republik Kongo Felly Felly, Pépé Fely Gitarrist Kinshasa Kongo (Demokratische Republik) Musiker Männlich Religion Waku, Manuaku "},"conceptURI":"https://d-nb.info/1179485637","_standard":{"text":"Fely, Pépé"},"conceptName":"Fely, Pépé"}	028C	$4:prf	Fely, Pépé		
125670648				028C	$4:cnd	Demaquet		
125670648	1179483413	Chopin	{"frontendLanguage":"de","_fulltext":{"text":"Demokratische Republik Kongo Kongo (Demokratische Republik) Musiker Männlich Religion Songwriter "},"conceptURI":"https://d-nb.info/1179483413","_standard":{"text":"Chopin"},"conceptName":"Chopin"}	028C	$4:prf	Chopin		
125670648	1179483243	Orchestre Negrita Jazz	{"frontendLanguage":"de","_fulltext":{"text":"Demokratische Republik Kongo Kongo (Demokratische Republik) Musikgruppe Negrita-Jazz Orch. Negrita Jazz Orchestre Negritta Religion "},"conceptURI":"https://d-nb.info/1179483243","_standard":{"text":"Orchestre Negrita Jazz"},"conceptName":"Orchestre Negrita Jazz"}	029F	$4:prf	Orchestre Negrita Jazz		
125671393				028A	$B:	Salmon, Roger		
125671393				028E	$B:	Khim, Valentino		
125671393	3060508-8	Dynamic Jazz	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060508-8 Allgemeines, Interdisziplinäre Allgemeinwörter Demokratische Republik Kongo Kongo (Demokratische Republik) Musik (Allgemeines), Musikgeschichte Musikgruppe Orchestre Dynamic Jazz Orchestre Novelty "},"conceptURI":"https://d-nb.info/3060508-8","_standard":{"text":"Dynamic Jazz"},"conceptName":"Dynamic Jazz"}	029E	$B:	Dynamic Jazz		
125671474				028E	$B:	Canadien		
125671474	1230022937	Desholey	{"frontendLanguage":"de","_fulltext":{"text":"Demokratische Republik Kongo Kongo (Demokratische Republik) Musiker Männlich Religion "},"conceptURI":"https://d-nb.info/1230022937","_standard":{"text":"Desholey"},"conceptName":"Desholey"}	028E/01	$B:	Desholey		
125671474	3060508-8	Dynamic Jazz	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060508-8 Allgemeines, Interdisziplinäre Allgemeinwörter Demokratische Republik Kongo Kongo (Demokratische Republik) Musik (Allgemeines), Musikgeschichte Musikgruppe Orchestre Dynamic Jazz Orchestre Novelty "},"conceptURI":"https://d-nb.info/3060508-8","_standard":{"text":"Dynamic Jazz"},"conceptName":"Dynamic Jazz"}	029E	$B:	Dynamic Jazz		
125671636	1179481577	Depiano	{"frontendLanguage":"de","_fulltext":{"text":"Demokratische Republik Kongo João, André João, André Depiano Kongo (Demokratische Republik) Musiker Männlich Religion Singstimme Songwriter "},"conceptURI":"https://d-nb.info/1179481577","_standard":{"text":"Depiano"},"conceptName":"Depiano"}	028A	$4:cmp	Depiano		
125671636	3060509-X	Orchestre La Palma	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060509-X Allgemeines, Interdisziplinäre Allgemeinwörter Demokratische Republik Kongo Kongo (Demokratische Republik) La Palma (Musikgruppe) Musik (Allgemeines), Musikgeschichte Musikgruppe Orchestre "La Palma" "},"conceptURI":"https://d-nb.info/3060509-X","_standard":{"text":"Orchestre La Palma"},"conceptName":"Orchestre La Palma"}	029F	$4:prf	Orchestre La Palma		
12567175X	1124410430	Kwamy	{"frontendLanguage":"de","_fulltext":{"text":"Cimy Demokratische Republik Kongo Kongo (Demokratische Republik) Kuami Kuamy Munsi Diki, Jean Kwamy Munsi, Jean Kwamy Musiker Männlich Religion "},"conceptURI":"https://d-nb.info/1124410430","_standard":{"text":"Kwamy"},"conceptName":"Kwamy"}	028E	$B:	Kwamy	1939-1998	
12567175X	3072111-8	Kwamy et son ensemble	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3072111-8 Allgemeines, Interdisziplinäre Allgemeinwörter Kongo (Demokratische Republik) Kongo (Republik) Kwamy Musik (Allgemeines), Musikgeschichte Musikgruppe "},"conceptURI":"https://d-nb.info/3072111-8","_standard":{"text":"Kwamy et son ensemble"},"conceptName":"Kwamy et son ensemble"}	029A	$B:	Kwamy et son ensemble		
125802226	1034061682	Verckys	{"frontendLanguage":"de","_fulltext":{"text":"Kiamuangana, Matesa Kiamuangana, Mateta George Kiamwangana, Mateta Kisantu Komponist Kongo (Republik) Matesa, Kiamuangana Mateta, Kiamuangana Musiker Musikproduzent Religion Unbekannt Verckys Kiamuangana "},"conceptURI":"https://d-nb.info/1034061682","_standard":{"text":"Verckys"},"conceptName":"Verckys"}	028E	$B:	Verckys	1944-	
125802226	3060565-9	Orchestre Bella-Bella (Musikgruppe)	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060565-9 Allgemeines, Interdisziplinäre Allgemeinwörter Bella Bella Demokratische Republik Kongo Frères Soki & l'orchestre Bella-Bella Kongo (Demokratische Republik) Musik (Allgemeines), Musikgeschichte Musikgruppe Orchestre Bella Bella "},"conceptURI":"https://d-nb.info/3060565-9","_standard":{"text":"Orchestre Bella-Bella (Musikgruppe)"},"conceptName":"Orchestre Bella-Bella (Musikgruppe)"}	029A	$B:	Orchestre Bella-Bella		
125802544	1070874078	Dilumona, Dilu	{"frontendLanguage":"de","_fulltext":{"text":"Demokratische Republik Kongo Dilu Dilu Dilumona Dilumona Luaku Empire Bakuba Kinshasa Kongo (Demokratische Republik) Luaku, Dilumona Musiker Männlich Religion Sänger "},"conceptURI":"https://d-nb.info/1070874078","_standard":{"text":"Dilumona, Dilu"},"conceptName":"Dilumona, Dilu"}	028A	$4:cmp	Dilumona, Dilu	1948-	
125802544	138677433	Pépé Kallé	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588a)138677433 Demokratische Republik Kongo Kabasele Ya Mpanya Kabasele Yampanya Kabasele, Jean Yampanya Kabasele, Ya Mpanya Kabasele, Yampanya Kabasele, Yampanya Jean Kalle Kallé Kongo (Demokratische Republik) Mulanga, Jean Kabasele Yamanya wa ba Musiker Männlich Paris Pepe Kalle Religion Yampanya, Pepe Kalle Kabasele "},"conceptURI":"https://d-nb.info/138677433","_standard":{"text":"Pépé Kallé"},"conceptName":"Pépé Kallé"}	028C	$4:cmp	Pépé Kallé	1951-1998	
125802544	3029979-2	Empire Bakuba	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3029979-2 (DE-588b)3072388-7 Allgemeines, Interdisziplinäre Allgemeinwörter Empire des Bakuba Kongo (Demokratische Republik)(Zaire) Kongo (Republik) L'Empire Bakumba Les Bakuba Musik (Allgemeines), Musikgeschichte Orchestre Empire Bakuba Orchestre Empire des Bakuba Orchestre les Bakuba Pépé Kallé "},"conceptURI":"https://d-nb.info/3029979-2","_standard":{"text":"Empire Bakuba"},"conceptName":"Empire Bakuba"}	029F	$4:prf	Empire Bakuba		
125803826				028E	$B:	Mamposi, Mateso		
125803826				028E/01	$B:	Malonga, Samuel		
125803826	3072366-8	Conga Succès (Musikgruppe)	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3058819-4 (DE-588b)3059068-1 (DE-588b)3072366-8 Allgemeines, Interdisziplinäre Allgemeinwörter Bokelo, Johnny Kongo (Demokratische Republik) Musik (Allgemeines), Musikgeschichte Musikgruppe Orch. Conga International Orch. Conga Success Orchestra Conga Orchestre Conga Orchestre Conga 68 (Musikgruppe) Orchestre Conga International Orchestre Conga Succès Orchestre Conga de la Capitale "},"conceptURI":"https://d-nb.info/3072366-8","_standard":{"text":"Conga Succès (Musikgruppe)"},"conceptName":"Conga Succès (Musikgruppe)"}	029A	$B:	Conga Succès		
125804628	3060565-9	Orchestre Bella-Bella (Musikgruppe)	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060565-9 Allgemeines, Interdisziplinäre Allgemeinwörter Bella Bella Demokratische Republik Kongo Frères Soki & l'orchestre Bella-Bella Kongo (Demokratische Republik) Musik (Allgemeines), Musikgeschichte Musikgruppe Orchestre Bella Bella "},"conceptURI":"https://d-nb.info/3060565-9","_standard":{"text":"Orchestre Bella-Bella (Musikgruppe)"},"conceptName":"Orchestre Bella-Bella (Musikgruppe)"}	029A	$B:	Orchestre Bella-Bella		
125806353	1252084293	Roy, Makengo	{"frontendLanguage":"de","_fulltext":{"text":"Kenia Kongo (Demokratische Republik) Makengo Roy Musiker Männlich Orchestre Grand Piza Religion Songwriter "},"conceptURI":"https://d-nb.info/1252084293","_standard":{"text":"Roy, Makengo"},"conceptName":"Roy, Makengo"}	028A	$B:	Roy, Makengo		
125806353	3060572-6	Orchestre Mandalala	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060572-6 Allgemeines, Interdisziplinäre Allgemeinwörter Kongo (Republik) Musik (Allgemeines), Musikgeschichte "},"conceptURI":"https://d-nb.info/3060572-6","_standard":{"text":"Orchestre Mandalala"},"conceptName":"Orchestre Mandalala"}	029E	$B:	Orchestre Mandalala		
125806426				028A	$B:	Etuwe, Djemba		
125806426	3060586-6	Orchestre Isifi	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060573-8 (DE-588b)3060586-6 Allgemeines, Interdisziplinäre Allgemeinwörter Demokratische Republik Kongo Isifi Kongo (Demokratische Republik)(Zaire) Kongo (Republik) Musik (Allgemeines), Musikgeschichte Musikgruppe Orchestre Isifi Lokole Orchestre Isifi du Zaire Orchestre Lokole Orchestre Lokole Isifi "},"conceptURI":"https://d-nb.info/3060586-6","_standard":{"text":"Orchestre Isifi"},"conceptName":"Orchestre Isifi"}	029E	$B:	Orchestre Isifi		
125806485				028A	$B:	Etuwe, Djemba		
125806485	3060586-6	Orchestre Isifi	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060573-8 (DE-588b)3060586-6 Allgemeines, Interdisziplinäre Allgemeinwörter Demokratische Republik Kongo Isifi Kongo (Demokratische Republik)(Zaire) Kongo (Republik) Musik (Allgemeines), Musikgeschichte Musikgruppe Orchestre Isifi Lokole Orchestre Isifi du Zaire Orchestre Lokole Orchestre Lokole Isifi "},"conceptURI":"https://d-nb.info/3060586-6","_standard":{"text":"Orchestre Isifi"},"conceptName":"Orchestre Isifi"}	029E	$B:	Orchestre Isifi		
12580668X				028C	$B:	Huchin, Claude		
12580668X				028C/01	$B:	Demesse, Lucien		
125822138	1233706349	Monimambo, Jim	{"frontendLanguage":"de","_fulltext":{"text":"Demokratische Republik Kongo Kenia Kenia Kinshasa Kongo (Demokratische Republik) Moni Mambo Moni Mambo, Jim Moni Mambo, Jimi Moni Mambo, Jimmy Monimambo Monimambo Mfumu Ntoto, Jim Monimambo, Jimmy Musiker Männlich Ntshimba Monimambo Religion Songwriter "},"conceptURI":"https://d-nb.info/1233706349","_standard":{"text":"Monimambo, Jim"},"conceptName":"Monimambo, Jim"}	028A	$B:	Monimambo, Jim	1949-	
125822138	3060584-2	Special Liwanza Band	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060584-2 Allgemeines, Interdisziplinäre Allgemeinwörter Kongo (Republik) Musik (Allgemeines), Musikgeschichte "},"conceptURI":"https://d-nb.info/3060584-2","_standard":{"text":"Special Liwanza Band"},"conceptName":"Special Liwanza Band"}	029E	$B:	Special Liwanza Band		
125822340				028E	$B:	Mabusele		
125822340	3060585-4	Orchestre Isso Babeti	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060585-4 Allgemeines, Interdisziplinäre Allgemeinwörter Kongo (Republik) Musik (Allgemeines), Musikgeschichte "},"conceptURI":"https://d-nb.info/3060585-4","_standard":{"text":"Orchestre Isso Babeti"},"conceptName":"Orchestre Isso Babeti"}	029A	$B:	Orchestre Isso Babeti		
125829116				028E	$B:	Tule wa Lupini		
125829116	3060584-2	Special Liwanza Band	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060584-2 Allgemeines, Interdisziplinäre Allgemeinwörter Kongo (Republik) Musik (Allgemeines), Musikgeschichte "},"conceptURI":"https://d-nb.info/3060584-2","_standard":{"text":"Special Liwanza Band"},"conceptName":"Special Liwanza Band"}	029A	$B:	Special Liwanza Band		
125829183				028A	$4:cmp	Mambenga, Vadia		
125829183	3060586-6	Orchestre Isifi	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060573-8 (DE-588b)3060586-6 Allgemeines, Interdisziplinäre Allgemeinwörter Demokratische Republik Kongo Isifi Kongo (Demokratische Republik)(Zaire) Kongo (Republik) Musik (Allgemeines), Musikgeschichte Musikgruppe Orchestre Isifi Lokole Orchestre Isifi du Zaire Orchestre Lokole Orchestre Lokole Isifi "},"conceptURI":"https://d-nb.info/3060586-6","_standard":{"text":"Orchestre Isifi"},"conceptName":"Orchestre Isifi"}	029F	$4:prf	Orchestre Isifi		
125829264				028E	$B:	Mabusele		
125829264	3060585-4	Orchestre Isso Babeti	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060585-4 Allgemeines, Interdisziplinäre Allgemeinwörter Kongo (Republik) Musik (Allgemeines), Musikgeschichte "},"conceptURI":"https://d-nb.info/3060585-4","_standard":{"text":"Orchestre Isso Babeti"},"conceptName":"Orchestre Isso Babeti"}	029E	$B:	Orchestre Isso Babeti		
125829353				028E	$B:	Dackin, Dackino		
125829353	3060587-8	Orchestre Afro Zaire	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060587-8 Allgemeines, Interdisziplinäre Allgemeinwörter Kongo (Republik) Musik (Allgemeines), Musikgeschichte "},"conceptURI":"https://d-nb.info/3060587-8","_standard":{"text":"Orchestre Afro Zaire"},"conceptName":"Orchestre Afro Zaire"}	029A	$B:	Orchestre Afro Zaire		
125829396	1313092452	Bwala, Medico	{"frontendLanguage":"de","_fulltext":{"text":"Kenia Kongo (Demokratische Republik) Medico Bwala Musiker Männlich Religion Songwriter "},"conceptURI":"https://d-nb.info/1313092452","_standard":{"text":"Bwala, Medico"},"conceptName":"Bwala, Medico"}	028E	$B:	Bwala, Medico		
125829396	3060587-8	Orchestre Afro Zaire	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060587-8 Allgemeines, Interdisziplinäre Allgemeinwörter Kongo (Republik) Musik (Allgemeines), Musikgeschichte "},"conceptURI":"https://d-nb.info/3060587-8","_standard":{"text":"Orchestre Afro Zaire"},"conceptName":"Orchestre Afro Zaire"}	029A	$B:	Orchestre Afro Zaire		
125829469				028C	$4:pro	Fambe, G.		
125829469	1233706349	Monimambo, Jim	{"frontendLanguage":"de","_fulltext":{"text":"Demokratische Republik Kongo Kenia Kenia Kinshasa Kongo (Demokratische Republik) Moni Mambo Moni Mambo, Jim Moni Mambo, Jimi Moni Mambo, Jimmy Monimambo Monimambo Mfumu Ntoto, Jim Monimambo, Jimmy Musiker Männlich Ntshimba Monimambo Religion Songwriter "},"conceptURI":"https://d-nb.info/1233706349","_standard":{"text":"Monimambo, Jim"},"conceptName":"Monimambo, Jim"}	028E	$B:	Monimambo, Jim	1949-	
125829469	3060584-2	Special Liwanza Band	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060584-2 Allgemeines, Interdisziplinäre Allgemeinwörter Kongo (Republik) Musik (Allgemeines), Musikgeschichte "},"conceptURI":"https://d-nb.info/3060584-2","_standard":{"text":"Special Liwanza Band"},"conceptName":"Special Liwanza Band"}	029A	$B:	Special Liwanza Band		
125829590				028C	$4:pro	Fambe, G.		
125829590				028E	$B:	Lifulenge, Lifenya		
125829590	3060584-2	Special Liwanza Band	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060584-2 Allgemeines, Interdisziplinäre Allgemeinwörter Kongo (Republik) Musik (Allgemeines), Musikgeschichte "},"conceptURI":"https://d-nb.info/3060584-2","_standard":{"text":"Special Liwanza Band"},"conceptName":"Special Liwanza Band"}	029A	$B:	Special Liwanza Band		
125829663	1233706349	Monimambo, Jim	{"frontendLanguage":"de","_fulltext":{"text":"Demokratische Republik Kongo Kenia Kenia Kinshasa Kongo (Demokratische Republik) Moni Mambo Moni Mambo, Jim Moni Mambo, Jimi Moni Mambo, Jimmy Monimambo Monimambo Mfumu Ntoto, Jim Monimambo, Jimmy Musiker Männlich Ntshimba Monimambo Religion Songwriter "},"conceptURI":"https://d-nb.info/1233706349","_standard":{"text":"Monimambo, Jim"},"conceptName":"Monimambo, Jim"}	028A	$B:	Monimambo, Jim	1949-	
125829663	3060584-2	Special Liwanza Band	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060584-2 Allgemeines, Interdisziplinäre Allgemeinwörter Kongo (Republik) Musik (Allgemeines), Musikgeschichte "},"conceptURI":"https://d-nb.info/3060584-2","_standard":{"text":"Special Liwanza Band"},"conceptName":"Special Liwanza Band"}	029E	$B:	Special Liwanza Band		
125829779				028A	$B:	Mukala, Coco		
125829779	3060588-X	Mange-Ngenge Orchestra	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060588-X Allgemeines, Interdisziplinäre Allgemeinwörter Kongo (Republik) Mange-Ngenge Orchestre Musik (Allgemeines), Musikgeschichte "},"conceptURI":"https://d-nb.info/3060588-X","_standard":{"text":"Mange-Ngenge Orchestra"},"conceptName":"Mange-Ngenge Orchestra"}	029E	$B:	Mange-Ngenge Orchestra		
125829809				028A	$B:	Mukala, Coco		
125829809	3060588-X	Mange-Ngenge Orchestra	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060588-X Allgemeines, Interdisziplinäre Allgemeinwörter Kongo (Republik) Mange-Ngenge Orchestre Musik (Allgemeines), Musikgeschichte "},"conceptURI":"https://d-nb.info/3060588-X","_standard":{"text":"Mange-Ngenge Orchestra"},"conceptName":"Mange-Ngenge Orchestra"}	029E	$B:	Mange-Ngenge Orchestra		
125837313				028A	$B:	Ulima, Makanga		
125837313				028E	$B:	Wangi, Abeli Pene		
125837313	3060589-1	Lok Lok Lokoko	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060589-1 Allgemeines, Interdisziplinäre Allgemeinwörter Kongo (Republik) Musik (Allgemeines), Musikgeschichte Or Lokoko Orchestre Lokoko "},"conceptURI":"https://d-nb.info/3060589-1","_standard":{"text":"Lok Lok Lokoko"},"conceptName":"Lok Lok Lokoko"}	029E	$B:	Lok Lok Lokoko		
125837615				028A	$4:cmp	Kitsusu, Mabiala		
125837615	3060590-8	Kintueni Sukisa	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060590-8 Allgemeines, Interdisziplinäre Allgemeinwörter Kongo (Republik) Musik (Allgemeines), Musikgeschichte Orchestre Kintueni Sukisa Super Kintueni National "},"conceptURI":"https://d-nb.info/3060590-8","_standard":{"text":"Kintueni Sukisa"},"conceptName":"Kintueni Sukisa"}	029F	$4:prf	Kintueni Sukisa		
125837712				028A	$4:cmp	Mabiala, Kitsusu		
125837712	3060590-8	Kintueni Sukisa	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060590-8 Allgemeines, Interdisziplinäre Allgemeinwörter Kongo (Republik) Musik (Allgemeines), Musikgeschichte Orchestre Kintueni Sukisa Super Kintueni National "},"conceptURI":"https://d-nb.info/3060590-8","_standard":{"text":"Kintueni Sukisa"},"conceptName":"Kintueni Sukisa"}	029F	$4:prf	Kintueni Sukisa		
125837844				028C	$4:cmp	Opetun, Ndombe		
125837844	3060592-1	Orchestre Makinalo-Ka	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060592-1 Allgemeines, Interdisziplinäre Allgemeinwörter Kongo (Republik) Musik (Allgemeines), Musikgeschichte "},"conceptURI":"https://d-nb.info/3060592-1","_standard":{"text":"Orchestre Makinalo-Ka"},"conceptName":"Orchestre Makinalo-Ka"}	029F	$4:prf	Orchestre Makinalo-Ka		
125837941				028C	$4:cmp	Shungu		
125837941	3060586-6	Orchestre Isifi	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060573-8 (DE-588b)3060586-6 Allgemeines, Interdisziplinäre Allgemeinwörter Demokratische Republik Kongo Isifi Kongo (Demokratische Republik)(Zaire) Kongo (Republik) Musik (Allgemeines), Musikgeschichte Musikgruppe Orchestre Isifi Lokole Orchestre Isifi du Zaire Orchestre Lokole Orchestre Lokole Isifi "},"conceptURI":"https://d-nb.info/3060586-6","_standard":{"text":"Orchestre Isifi"},"conceptName":"Orchestre Isifi"}	029F	$4:prf	Orchestre Isifi		
125837992	1034404075	Mavuela	{"frontendLanguage":"de","_fulltext":{"text":"Demokratische Republik Kongo Kinshasa Kongo (Republik) Musiker Männlich Religion Somo, Cheikh Mavuela Somo, Mavuela "},"conceptURI":"https://d-nb.info/1034404075","_standard":{"text":"Mavuela"},"conceptName":"Mavuela"}	028A	$4:cmp	Mavuela		
125837992	3060586-6	Orchestre Isifi	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060573-8 (DE-588b)3060586-6 Allgemeines, Interdisziplinäre Allgemeinwörter Demokratische Republik Kongo Isifi Kongo (Demokratische Republik)(Zaire) Kongo (Republik) Musik (Allgemeines), Musikgeschichte Musikgruppe Orchestre Isifi Lokole Orchestre Isifi du Zaire Orchestre Lokole Orchestre Lokole Isifi "},"conceptURI":"https://d-nb.info/3060586-6","_standard":{"text":"Orchestre Isifi"},"conceptName":"Orchestre Isifi"}	029F	$4:prf	Orchestre Isifi		
125838107				028A	$4:cmp	Bozi		
125838107	3060586-6	Orchestre Isifi	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060573-8 (DE-588b)3060586-6 Allgemeines, Interdisziplinäre Allgemeinwörter Demokratische Republik Kongo Isifi Kongo (Demokratische Republik)(Zaire) Kongo (Republik) Musik (Allgemeines), Musikgeschichte Musikgruppe Orchestre Isifi Lokole Orchestre Isifi du Zaire Orchestre Lokole Orchestre Lokole Isifi "},"conceptURI":"https://d-nb.info/3060586-6","_standard":{"text":"Orchestre Isifi"},"conceptName":"Orchestre Isifi"}	029F	$4:prf	Orchestre Isifi		
125838212				028E	$B:	Ulima, Makanga		
125838212	3060589-1	Lok Lok Lokoko	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060589-1 Allgemeines, Interdisziplinäre Allgemeinwörter Kongo (Republik) Musik (Allgemeines), Musikgeschichte Or Lokoko Orchestre Lokoko "},"conceptURI":"https://d-nb.info/3060589-1","_standard":{"text":"Lok Lok Lokoko"},"conceptName":"Lok Lok Lokoko"}	029E	$B:	Lok Lok Lokoko		
12583828X				028A	$4:cmp	Wembadio, Shungu		
12583828X	3060586-6	Orchestre Isifi	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3060573-8 (DE-588b)3060586-6 Allgemeines, Interdisziplinäre Allgemeinwörter Demokratische Republik Kongo Isifi Kongo (Demokratische Republik)(Zaire) Kongo (Republik) Musik (Allgemeines), Musikgeschichte Musikgruppe Orchestre Isifi Lokole Orchestre Isifi du Zaire Orchestre Lokole Orchestre Lokole Isifi "},"conceptURI":"https://d-nb.info/3060586-6","_standard":{"text":"Orchestre Isifi"},"conceptName":"Orchestre Isifi"}	029F	$4:prf	Orchestre Isifi		
125838379				028A	$4:cmp	Lay, Evoloko		
