PPN	GND-ID	GND-Name	GND-JSON	Kategorie	Rolle	Name	Bemerkung	
095960392	137875509	Papa Noël	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588a)137875509 Demokratische Republik Kongo Katalogisierungslevel 3 Kongo (Demokratische Republik) Montswet, Antoine Nedule Montswet, Nedule Musiker Männlich Nedule Nedule Monswet, Antoine Nedule Papa Noël Papa Noel Papa Noel ya nono Papa Noël-Nono "},"conceptURI":"https://d-nb.info/137875509","_standard":{"text":"Papa Noël"},"conceptName":"Papa Noël"}	028C	$4:prf	Papa Noël	1940-	
102227535				028A	$4:aut	Heinz, G.		
102227535				028C	$4:aut	Donnay, H.		
102227535	118575295	Lumumba, Patrice É.	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588a)118575295 (DE-588c)4036629-7 Elisabethville Gründer Isaïe Tasumbu Tawosa Katalogisierungslevel 1 Kongo (Demokratische Republik) Lumumba, Patrice Lumumba, Patrice Émery Männlich Okit'Asombo, Élias Okitasombo, Alois Personen der Geschichte (Politiker und historische Persönlichkeiten) Politiker "},"conceptURI":"https://d-nb.info/118575295","_standard":{"text":"Lumumba, Patrice É."},"conceptName":"Lumumba, Patrice É."}	028C	$B:	Lumumba, Patrice É.	1925-1961	
109708202	3055419-6	Ngoma (Kinshasa)	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3055419-6 Allgemeines, Interdisziplinäre Allgemeinwörter Disques Ngoma (Kinshasa) Einzelne Branchen der Industrie und des Handwerks Kinshasa Kongo (Demokratische Republik)(Zaire) "},"conceptURI":"https://d-nb.info/3055419-6","_standard":{"text":"Ngoma (Kinshasa)"},"conceptName":"Ngoma (Kinshasa)"}	029A	$B:	Ngoma		
109708237	3055419-6	Ngoma (Kinshasa)	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3055419-6 Allgemeines, Interdisziplinäre Allgemeinwörter Disques Ngoma (Kinshasa) Einzelne Branchen der Industrie und des Handwerks Kinshasa Kongo (Demokratische Republik)(Zaire) "},"conceptURI":"https://d-nb.info/3055419-6","_standard":{"text":"Ngoma (Kinshasa)"},"conceptName":"Ngoma (Kinshasa)"}	029A	$B:	Ngoma		
121696715	1034498649	Franco, Musiker	{"frontendLanguage":"de","_fulltext":{"text":"Bavon Marie-Marie Brüssel Demokratische Republik Kongo Grand Maître Grand Maître Franco Kongo (Demokratische Republik) Kongo (Demokratische Republik)(Zaire) L'Okanga La Ndju Pene Luambo Makiadi Lokanga La Djo Péné, Franc̜ois Luambo Makiadi Luambo Makiadi, Franco Luambo, Franco Makiadi, Franco Luambo Makiadi, François Luambo Makiadi, Luambo Musiker Männlich Religion Sona Bata Tout-Puissant OK Jazz "},"conceptURI":"https://d-nb.info/1034498649","_standard":{"text":"Franco, Musiker"},"conceptName":"Franco, Musiker"}	028E	$B:	Franco <Musiker>	1938-1989	
121696715	3015656-7	Tout-Puissant OK Jazz	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3015656-7 Demokratische Republik Kongo Franco & OK Jazz Franco & TPOK Jazz Franco et OK Jazz Franco et TPOK Jazz Franco, Musiker Josky Katalogisierungslevel 1 Kinshasa Kongo (Demokratische Republik)(Zaire) Musik (Allgemeines), Musikgeschichte Musikgruppe O.K. Jazz OK Jazz Orch. T.P.OK. Jazz Orchestra OK Jazz Orchestre Franco Orchestre O.K. Jazz Orchestre OK Jazz T.P. OK Jazz T.P.O.K. Jazz TPOK Jazz Tout Puissant Orchestre Kinois Jazz "},"conceptURI":"https://d-nb.info/3015656-7","_standard":{"text":"Tout-Puissant OK Jazz"},"conceptName":"Tout-Puissant OK Jazz"}	029E	$B:	Tout-Puissant OK Jazz		
121697770	1052966411	Tshibayi, Bibi Den's	{"frontendLanguage":"de","_fulltext":{"text":"Bibi Den's Bibi Dens Demokratische Republik Kongo Dens, Bibi Informatiker Journalist Kongo (Republik) Luebo Musiker Männlich Religion Tshibayi, Denis "},"conceptURI":"https://d-nb.info/1052966411","_standard":{"text":"Tshibayi, Bibi Den's"},"conceptName":"Tshibayi, Bibi Den's"}	028E	$B:	Tshibayi, Bibi Den's	1954-	
121698912	1074023617	Bel, M'bilia	{"frontendLanguage":"de","_fulltext":{"text":"Bel, Mbilia Demokratische Republik Kongo Kinshasa Kongo (Demokratische Republik) Mbilia Bel Mbilia-Bel Mboyo Moseka, Marie-Claire Musikerin Religion Unbekannt "},"conceptURI":"https://d-nb.info/1074023617","_standard":{"text":"Bel, M'bilia"},"conceptName":"Bel, M'bilia"}	028E	$B:	Bel, M'bilia	1959-	
