PPN	Signatur	Signatur_PPN	weitere Signaturen	Objekttitel	Reihentiteltitel	"Sprachen"	Objektbeschreibung	Umfang	"Weitere Nummer (Typ)"	"Weitere Nummer (Wert)"	Datum	"Ort"	"Ort-System-ID"	Label	"Schlagwörter"	Teilsammlung (AMA)	Weitere Informationen	Merkmale	Interpret	Ereignis	"GND-URL"	"Import-Name"	"Name"	"Rolle"	"Bemerkung"
12477752X	TK 355	TK 355 12477752X		Selina / Roy Sibade		"und"	Enth.: Selina (Show me your love). O do bi ye owuo. Yesu - Osaberima (Tribute to Thomas Sankara). Forgive me. Boami	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 355|LC 8122"	1988	"Erscheinungsort nicht ermittelbar"	"4035"	Carmina Records	""	1995/-				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1127615602|http://d-nb.info/gnd/1127615602"	"Sibade, Roy|Sibade, Roy|Carmina Records"	"Sibade, Roy|Sibade, Roy|Carmina Records"	"Komposition (von)|Interpretation (durch)|Musiklabel"	"|"
124778151	TK 112	TK 112 124778151		Saisie en douane 20 ans deja / Zaiko Nkolo-Mboka & Baroza		"und"	Enth.: 20 ans...saisie en douane. Jngratitude. Sasa. Deception B. Zaiko ...10 ans - Ngok. Patseli. Mira-Maketa. Suka-Ntima	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 112|MGS 72"	1996	"Südafrika?"	"4802"	[Gallo Records]	"Musik|Kongo|Populäre Musik"	2015/-				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1125895942|http://d-nb.info/gnd/3060071-6|http://d-nb.info/gnd/3060071-6"	"Baroza, Tino|Zaiko Nkolo-Mboka|Zaiko Nkolo-Mboka|[Gallo Records]"	"Baroza, Tino|Zaiko Nkolo-Mboka|Zaiko Nkolo-Mboka|[Gallo Records]"	"Interpretation (durch)|Komposition (von)|Interpretation (durch)|Musiklabel"	"1930-1968||"
124778720	TK 106	TK 106 124778720		The young shall grow / Sandy Ermers (Rasta Queen)		"und"	Enth.: We are the new Generation. Give thanks and praises - Nee amaka. The @man in my heart	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 106|PolyGram MSC 007"	1991	"Nigeria"	""	PolyGram Records	""	2015/-				Veröffentlichung (musikalisches Werk)	""	"Ermers, Sandy|PolyGram Records"	"Ermers, Sandy|PolyGram Records"	"Interpretation (durch)|Musiklabel"	""
183022092	TK 1055	TK 1055 183022092		Akouê / Eliz Nanga		"und"	Enth.: Ayile. Dê. Akouê. Zededji. Vilè. Fiyèdè - Ya. Segbetchè. Gbidi gbidi. Dalô nonzo. Minton minton. Madjomido	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 1055|-"	2000	"Benin?"	""	ACP Productions	"Musik|Benin ?|Populäre Musik"	2006/641				Veröffentlichung (musikalisches Werk)	""	"Nanga, Eliz|ACP Productions"	"Nanga, Eliz|ACP Productions"	"Beteiligte Person/Körperschaft|Musiklabel"	""
183025512	TK 1051	TK 1051 183025512		Benin passion : les plus grands succès de 1965 à 1980 / Edia Sophie, El Régo, GG Vikey, Gonas Pédro, Clément Mèlomè, Pascal Mèdagbé, Sagbohan Danialou		"fr|und"	Enth.: Oun kpé zon toé - Mèmè non tin an - Sur le Lac Ahémé - Von o von non - Tombola tché dou nou - Si je savais - Gbè tin man djro - L'@amour ne s'achète pas - Vive les maries - Man won wou o - A mon nou dé hou dou	1 Tonkassette ; 10x7 cm, 4 mm Band	"Signatur"	"TK 1051"	1990	"Cotonou"	"721376"	SNP	"Musik|Benin|Populäre Musik|Sampler"	2006/635				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1136598200|http://d-nb.info/gnd/1136598596|http://d-nb.info/gnd/1072851962|http://d-nb.info/gnd/139279393|http://d-nb.info/gnd/1094888559|||http://d-nb.info/gnd/1125661682"	"Edia Sophie|El Régo|Vikey, G. G.|Gnonnas, Pedro|Mélomé, Clément|Tao, Joseph|Mèdagbè, Pascal|Sagbohan, Danialou|SNP"	"Edia Sophie|El Régo|Vikey, G. G.|Gnonnas, Pedro|Mélomé, Clément|Tao, Joseph|Mèdagbè, Pascal|Sagbohan, Danialou|SNP"	"Interpretation (durch)|Interpretation (durch)|Interpretation (durch)|Interpretation (durch)|Interpretation (durch)|Interpretation (durch)|Interpretation (durch)|Interpretation (durch)|Musiklabel"	"19XX-2015|1938-|1944-2013|1943-2004|1945-2012|||1951-"
183026098	TK 1050	TK 1050 183026098		De Paris à Bohicon / Rasbawa		"und"	Enth.: Agbossou. Femme. Corruption. Control business. Partagez. Atiwa (version dub) - De Paris à Bohicon. Atiwa. Asiko. Ohou. Pense à ça. Partagez (version dub)	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 1050|ALR 001"	2005	"Colombes"	""	Aïra Productions	"Musik|Benin|Populäre Musik"	2006/634				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/135279577|http://d-nb.info/gnd/135279577"	"Rasbawa|Rasbawa|Aïra Productions"	"Rasbawa|Rasbawa|Aïra Productions"	"Komposition (von)|Interpretation (durch)|Musiklabel"	"|"
183068386	TK 1052	TK 1052 183068386		Gbeme gnon we : Gogohun / Dahoue Doto & Doto Adjiho		"und"	Enth.: Wame non. Gbeme gnon we. Mawu nyo - Nou gbledjou. Ametonou sesse. Gnonnou djidjo	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 1052|KAPOR 21"	2000	"Benin"	""	Kapor	"Musik|Benin|Gogohun|Populäre Musik"	2006/636				Veröffentlichung (musikalisches Werk)	"|"	"Doto, Dahoue|Adjiho, Doto|Kapor"	"Doto, Dahoue|Adjiho, Doto|Kapor"	"Beteiligte Person/Körperschaft|Beteiligte Person/Körperschaft|Musiklabel"	"|"
183074726	TK 1054	TK 1054 183074726		Du père au fils / Petit Miguelito		"und|fr"	Enth.: Lonlonyin. Hommage à Miguelito. Julia. Sokèmi - Wa towé dé. Zomin. Peit Trésor	1 Tonkassette ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 1054|-"	2005	"Cotonou"	"721376"	Top Showbiz	"Musik|Benin|Populäre Musik"	2006/638				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1136602089"	"Petit Miguelito|Top Showbiz"	"Petit Miguelito|Top Showbiz"	"Interpretation (durch)|Musiklabel"	"1986-"
183075196	TK 1177	TK 1177 183075196		Beyanga / Mbilia Bel		"ln"	Enth.: Beyanga. Mano Mongba. Mobali Na Ngai Wana. Napika	1 Tonkassette ; Stereo	"Signatur|Verlags-Bestellnummer"	"TK 1177|CIS 027"	1995	"Brazzaville"	"721365"	Genidia	""	2006/639				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1074023617"	"Bel, M'bilia|Genidia"	"Bel, M'bilia|Genidia"	"Beteiligte Person/Körperschaft|Musiklabel"	"1959-"
183089804	TK 1049	TK 1049 183089804		Nico / Docteur Nico & l'African Fiesta Sukisa		"und"	Enth.: Asala Malekoun. Fanta diara. Lucifer. Souzi - Echantion ya pampa. Mbanda Peugeot. Bokomana ngai pamba. Naluki motungisi	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 1049|AFC 31.005"	1995	"Paris"	"17840"	African	"Musik|Kongo|Populäre Musik"	2006/640				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/135147484|http://d-nb.info/gnd/3058909-5"	"Nico, Docteur|African Fiesta|African"	"Nico <Docteur>|African Fiesta|African"	"Interpretation (durch)|Interpretation (durch)|Musiklabel"	"1939-1985|"
