PPN	Signatur	Signatur_PPN	weitere Signaturen	Objekttitel	Reihentiteltitel	"Sprachen"	Objektbeschreibung	Umfang	"Weitere Nummer (Typ)"	"Weitere Nummer (Wert)"	Datum	"Ort"	"Ort-System-ID"	Label	"Schlagwörter"	Teilsammlung (AMA)	Weitere Informationen	Merkmale	Interpret	Ereignis	"GND-URL"	"Import-Name"	"Name"	"Rolle"	"Bemerkung"
400582139	TK 364	TK 364 400582139		Pé Pa Rété / Edge		"und"	Enth.: Manuella. Si La Te. Confiance - Personnalite. An Pe Pa. Pouki Sa. Pe Pa Rete	1 Tonkassette ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer|Produkt-Nummer"	"TK 364|MC-008/29303|3-440922-930448"	1990	"Paris"	"17840"	SIPE (Société Internationale de Production et d'Edition)	"Musik|Karibik|Populäre Musik"	2015/-				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/112777350X"	"Edge, Musiker|SIPE (Société Internationale de Production et d'Edition)"	"Edge|SIPE (Société Internationale de Production et d'Edition)"	"Interpretation (durch)|Musiklabel"	""
400585006	TK 365	TK 365 400585006		The Best of Tshala Muana / Tshala Muana	Top 12	"und"	Enth.: Cicatrice d'amour. Biduaya. Thian Alapangai. Burkina Faso - Amina-Amour. Su Ka Se Di Wa. Afrika Mokili Mobimba	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 365|-"	1988	""	""		"Musik|Kongo|Populäre Musik"	1995/1384				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1022346229"	"Muana, Tshala"	"Muana, Tshala"	"Interpretation (durch)"	"1958-"
400585480	TK 366	TK 366 400585480		Nasi Nabali / Tshala Muana		"und"	Enth.: Nasi Nabali. Iwa Touye - Ndeko Ya-Samuel. Kizoungou Zoungou	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 366|TAZ 4184"	1999	"Bruxelles"	"721367"	Espera ?]	"Musik|Kongo|Populäre Musik"	1995/1389				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1022346229"	"Muana, Tshala|Espera ?]"	"Muana, Tshala|Espera ?]"	"Interpretation (durch)|Musiklabel"	"1958-"
400586274	TK 367	TK 367 400586274		Baol Baol / Ismael Lo		"und"	Enth.: Baol Baol. Setsinala. Nabou. Sour - Na Fanta. Senegambie. Wassaliane. Nabou instrumental	1 Tonkassette ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 367|Ilopro 4"	1999	"Dakar"	"44728"	Ilopro (Ismaël Lô Productions)	"Musik|Senegal|Populäre Musik"	1995/1385	℗ EMI (Pathé Marcony)			Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/134912179|http://d-nb.info/gnd/134912179"	"Lô, Ismaël|Lô, Ismaël|Ilopro (Ismaël Lô Productions)"	"Lô, Ismaël|Lô, Ismaël|Ilopro (Ismaël Lô Productions)"	"Komposition (von)|Interpretation (durch)|Musiklabel"	"1956-|1956-"
400587106	TK 368	TK 368 400587106		Abeti (en colère) / Abeti		"und"	Enth.: Scandale de jalousie. Kimbe red pa Moli - Tu es méchant. Scandale de jalousie	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 368|Bade BSM 996"	1987	"Paris"	"17840"	Bade Stars Music	"Musik|Kongo|Populäre Musik"	1995/1386				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1012128296"	"Abeti|Bade Stars Music"	"Abeti|Bade Stars Music"	"Interpretation (durch)|Musiklabel"	"1951-1994"
400587939	TK 369	TK 369 400587939		Foulale / Lutchiana Mobula Le Cobra		"und"	Enth.: Eki bis. Foulale. Déception. Junior - Ma We. Nathalie Chou. Ma We (dub). Déception (dub)	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 369|Jacky Toto 284"	1990	"France"	"4050"	Jacky Toto Production	"Musik|Kongo|Populäre Musik"	1995/1388				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1071093797"	"Lutchiana Mobulu|Jacky Toto Production"	"Lutchiana Mobulu|Jacky Toto Production"	"Interpretation (durch)|Musiklabel"	""
400589451	TK 370	TK 370 400589451		Yombo / Tshala-Muana		"und"	Enth.: Yombo. Tshibola. Golgotta. Mbumba - Makenga. Tshilunga. Baiser de Judas	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer|Produkt-Nummer"	"TK 370|Sonodisc MC 63707|3-252410-637070"	1990	"Paris"	"17840"	Sonodisc	"Musik|Kongo|Populäre Musik"	1995/1390				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1022346229|http://d-nb.info/gnd/1022346229"	"Muana, Tshala|Muana, Tshala|Sonodisc"	"Muana, Tshala|Muana, Tshala|Sonodisc"	"Komposition (von)|Interpretation (durch)|Musiklabel"	"1958-|1958-"
400591596	TK 371	TK 371 400591596		Leddy / N'Gouma Lokito et les Soukouss Stars		"und"	Enth.: Leddy. Nady Blonde. Yala - Animata. Lidia. Sourire	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 371|FR0114"	1990	"Erscheinungsort nicht ermittelbar"	"4035"	[Verlag nicht ermittelbar]	"Musik|Kongo|Populäre Musik"	1995/1391				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1127790277|http://d-nb.info/gnd/10363034-X"	"Lokito, N'Gouma|Soukous Stars|[Verlag nicht ermittelbar]"	"Lokito, N'Gouma|Soukous Stars|[Verlag nicht ermittelbar]"	"Interpretation (durch)|Interpretation (durch)|Musiklabel"	"|"
400592177	TK 372	TK 372 400592177		La reine de Sabah / Bozi-Boziana et l'Anti-Choc		"und"	Enth.: La @reine Sabah	1 Tonkassette ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 372|-"	1990	"Douala?"	"721379"	DUPLIC International	"Musik|Kongo|Populäre Musik"	1995/1392				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1022218875|http://d-nb.info/gnd/103491118X|http://d-nb.info/gnd/102221957X"	"Bozi Boziana|Detta, Jolie|Anti Choc (Musikgruppe)|DUPLIC International"	"Bozi Boziana|Detta, Jolie|Anti Choc|DUPLIC International"	"Interpretation (durch)|Beteiligte Person/Körperschaft|Interpretation (durch)|Musiklabel"	"1952-|1968-2008|"
400592770	TK 373	TK 373 400592770		L'avenir / Bozi-Boziana et l'Anti-Choc		"und"	Enth.: Mitshouri. Beyoni. Mela. L'@argent vient avec le temps - Popo. Avenir. Myra	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 373|Rigo Makengo Prod. 89"	1991	"Paris"	"17840"	Flash Diffusion Business ?]	"Musik|Kongo|Populäre Musik"	1995/1393				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1022218875|http://d-nb.info/gnd/102221957X"	"Bozi Boziana|Anti Choc (Musikgruppe)|Flash Diffusion Business ?]"	"Bozi Boziana|Anti Choc|Flash Diffusion Business ?]"	"Interpretation (durch)|Interpretation (durch)|Musiklabel"	"1952-|"
400628562	TK 374	TK 374 400628562		Mingelina B 52 / Evoloko Jocker et les Langa Langa Stars		"und"	Enth.: Mingelina B 52. Etha Ndjoli. Abou - Rosa Mbunza. Bebe Kigoma. Vicky Bakir	1 Tonkassette ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 374|4826"	1991	"Paris"	"17840"	Flash Diffusion Business]	"Musik|Kongo|Populäre Musik"	1995/1394				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1034185659|http://d-nb.info/gnd/10186292-1"	"Evoloko Jocker|Langa Langa Stars|Flash Diffusion Business]"	"Evoloko Jocker|Langa Langa Stars|Flash Diffusion Business]"	"Interpretation (durch)|Interpretation (durch)|Musiklabel"	"1954-|"
400628813	TK 375	TK 375 400628813		Munanga / Tshala Muana		"und"	Enth.: Munanga. Bena. Mukalenga - Kapinga. Amina. Emony	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 375|032"	1988	"Paris"	"17840"	Syllart Production]	"Musik|Populäre Musik"	1995/1397				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1022346229"	"Muana, Tshala|Syllart Production]"	"Muana, Tshala|Syllart Production]"	"Interpretation (durch)|Musiklabel"	"1958-"
400630222	TK 376	TK 376 400630222		Volume 1	Wenge Musica	"und"	Enth.: Hi ho ha new image. La vie. Tuna Tina Jack Kitshindja - Surprise Kapangala. Douglas Ilumbe. La tempête du desert	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 376|MCS 8801"	1994	"Abidjan"	"44730"	EMI (Côte d'Ivoire)	"Musik|Kongo|Populäre Musik"	1995/1395				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/16035195-9"	"Wenge Musica BC BG|EMI (Côte d'Ivoire)"	"Wenge Musica BC BG|EMI (Côte d'Ivoire)"	"Interpretation (durch)|Musiklabel"	""
400630575	TK 377	TK 377 400630575		Volume 2	Wenge Musica	"und"	Enth.: Masampu. Kama. Capitaine de Bénélux - Willy Muntu. Promesses bouboule. Sourire	1 Tonkassette ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 377|ER"	1994	"Douala"	"721379"	S.O.S. Musique en détresse	"Musik|Kongo|Populäre Musik"	1995/1395				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/16035195-9"	"Wenge Musica BC BG|S.O.S. Musique en détresse"	"Wenge Musica BC BG|S.O.S. Musique en détresse"	"Interpretation (durch)|Musiklabel"	""
40063404X	TK 378	TK 378 40063404X		Papa Omar / Zaiko Langalanga		"und"	Enth.: Mikady. Chérie N'gossanga - Ensemble chansons Bateke. Liwa yo moyi bi	1 Tonkassette ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 378|[8687]"	1987	"Bruxelles"	"721367"	N'Goss Production]	"Musik|Kongo|Populäre Musik"	1995/1396				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/3059219-7"	"Zaïko Langa Langa (Musikgruppe)|N'Goss Production]"	"Zaïko Langa Langa|N'Goss Production]"	"Interpretation (durch)|Musiklabel"	""
400635925	TK 379	TK 379 400635925		Cadeau d'amitié / Joly Baki Emen Mubiala. Viva la Musica de Papa wemba		"fr"	Enth.: Cadeau d'amitié. Izbie Belle. Ce jeune homme - La @petite Nadège. Esther Longo. Izbie Belle (instrumental)	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 379|-"	1990	"Frankreich?"	"4050"	J3	"Musik|Kongo|Populäre Musik"	1995/1398				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1127873180|http://d-nb.info/gnd/3041004-6"	"Joly Baki Emen Mubiala|Viva la Musica|J3"	"Joly Baki Emen Mubiala|Viva la Musica|J3"	"Interpretation (durch)|Beteiligte Person/Körperschaft|Musiklabel"	"195X-|"
40064598X	TK 380	TK 380 40064598X		le policier / Saint Bruno		"und"	Enth.: Le @policier. Changement. 3500. Manda Lâh. Keu Leu - Un défaut. Lonsse Ndiebù. Keùssou. Peu si Menze. Paie ma chose	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 380|S.B.001"	1990	"Douala"	"721379"	Edition A.T.B.(Alongmock Tchingo Blandine)	"Musik|Kamerun|Populäre Musik"	2015/-				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1127891707"	"Saint Bruno|Edition A.T.B.(Alongmock Tchingo Blandine)"	"Saint Bruno|Edition A.T.B.(Alongmock Tchingo Blandine)"	"Interpretation (durch)|Musiklabel"	""
400646854	TK 382	TK 382 400646854		Va t'en / Pierre Tchana		"und"	Enth.: Ta poun. Tayag Nsi (Seigneur Dieu). Rien n'a changé. Je m'en souviens - Va t'en. Aba yok (ainsi la vie). Main dans la main. Rien n'a changé (instrumental)	1 Tonkassette ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 382|001 K7"	1987	"Yaoundé"	""	Gentlemen Music Production	"Musik|Kamerun|Populäre Musik"	2015/-				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1071738402"	"Tchana, Pierre|Gentlemen Music Production"	"Tchana, Pierre|Gentlemen Music Production"	"Interpretation (durch)|Musiklabel"	""
401323870	TK 383	TK 383 401323870		Volume III	Ses plus grands succès	"und"	Enth.: Nkondo. Aye ndol'am. Mouaye. Ngal'a tanda - Ashiko edingue. Tao Abidjan. Ayo mba nde. Minya ma bobe	1 Tonkassette ; Mono-Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 383|WEI 589"	1990	"Bobigny"	"721363"	Jengou Records	"Musik|Kamerun|Populäre Musik"	2015/-				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1066346356|http://d-nb.info/gnd/1066346356"	"Brillant, Ekambi|Brillant, Ekambi|Jengou Records"	"Brillant, Ekambi|Brillant, Ekambi|Jengou Records"	"Komposition (von)|Interpretation (durch)|Musiklabel"	"1948-|1948-"
401324427	TK 384	TK 384 401324427		Carreau magique / Johnny Tezano		"und"	Enth.: Kwassa system. Chic Mama - Carreau magique. La @vérité de J.T.(Johnny Tezano)	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 384|ATK 078"	1985	"Douala"	"721379"	T.J.R. Touré Jim's Records	"Musik|Kamerun|Populäre Musik"	2015/-				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1081118903|http://d-nb.info/gnd/1081118903"	"Tezano, Johnny|Tezano, Johnny|T.J.R. Touré Jim's Records"	"Tezano, Johnny|Tezano, Johnny|T.J.R. Touré Jim's Records"	"Komposition (von)|Interpretation (durch)|Musiklabel"	"|"
401325458	TK 385	TK 385 401325458		Appelles-moi Princesse / Grace Decca		"und"	Enth.: Longué Lam. Olo Iyo Ho. Ye mba ndutu - Bele Mba chérie. Muna Mbaïa. I need some love	1 Tonkassette ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 385|MC1JPS005"	1998	"Paris|Douala"	"17840|721379"	JPS Productions	"Musik|Kamerun|Populäre Musik"	2015/-				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1129198022"	"Decca, Grace|JPS Productions"	"Decca, Grace|JPS Productions"	"Interpretation (durch)|Musiklabel"	"197X-"
401334686	TK 386	TK 386 401334686		Le voyageur / Papa Wemba		"und"	Enth.: Maria Valencia. Lingo Lingo. Le voyageur. Ombella - Jamais kolonga. Matinda. Yoko. Madilamba. Zero	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 386|165"	1992	"France"	"4050"	Virgin Records]	"Musik|Kongo|Populäre Musik"	1995/600				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/134756258|http://d-nb.info/gnd/134756258"	"Papa Wemba|Papa Wemba|Virgin Records]"	"Papa Wemba|Papa Wemba|Virgin Records]"	"Komposition (von)|Interpretation (durch)|Musiklabel"	"1949-2016|1949-2016"
401341461	TK 387	TK 387 401341461		Bilghissou Diallo / Amadou Barry		"und"	Enth.: Bilghissou Diallo. Séédha Guérata. Hooten Fouta Djallo - Ko fii Guidho Yanganté. Mi Yaran Sangoya. Kori Attyu ta Hubhan	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 387|BGDA 91008"	1990	"Mali?"	""	[BGDA?]	"Musik|Mali|Traditionelle Musik|Populäre Musik"	1995/1402				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1129269736|http://d-nb.info/gnd/1129269736"	"Sangaré, Amadou Barry|Sangaré, Amadou Barry|[BGDA?]"	"Sangaré, Amadou Barry|Sangaré, Amadou Barry|[BGDA?]"	"Komposition (von)|Interpretation (durch)|Musiklabel"	"|"
401342417	TK 388	TK 388 401342417		Urgence / Fodé Baro		"und"	Enth.: Donsoke. N'Na. Diaraby Kanou. Niamakoro. Nkoro - Allah Kabo. Niamakoro (instrumental). Fantagbe. Solibana. Koumayema	1 Tonkassette ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 388|DK42 (REF 42)"	1992	"Mali"	""	[Mali Cassette]	"Musik|Guinea|Populäre Musik"	1995/1473	©1992 Syllart Production, Paris: Albumtitel "Donsoke" mit anderer Track-Folge			Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1129270521|http://d-nb.info/gnd/1129270521"	"Baro, Fodé|Baro, Fodé|[Mali Cassette]"	"Baro, Fodé|Baro, Fodé|[Mali Cassette]"	"Komposition (von)|Interpretation (durch)|Musiklabel"	"|"
401344029	TK 389	TK 389 401344029		Djinan Mousso / Kade Diawara "L'Archange du Mandingue"		"und"	Enth.: Djinan Mousso. Assetou Bella. Farakoudou. Gnaman Kante - Lamban. Mone Magni. Mousso Bombé	1 Tonkassette ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 389|DDU 001"	1985	"Guinea?"	""	D.D. United	"Musik|Guinea|Populäre Musik"	1995/1474				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1129272265|http://d-nb.info/gnd/1129272265"	"Diawara, Kadé|Diawara, Kadé|D.D. United"	"Diawara, Kadé|Diawara, Kadé|D.D. United"	"Komposition (von)|Interpretation (durch)|Musiklabel"	"|"
401398285	TK 391	TK 391 401398285		Bea Reggae / Elie		"und"	Enth.: Impossible. Mister Man. Tribal war. Revolution - Trinity. In my dream. Vide'. Rastaman	1 Tonkassette ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 391|NERO NSN 001 MC"	1987	"Italien"	""	NERO e non solo!	"Musik|Benin|Reggae|Populäre Musik"	1995/1472				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1129292894|http://d-nb.info/gnd/1129292894"	"Hassou, Elie|Hassou, Elie|NERO e non solo!"	"Hassou, Elie|Hassou, Elie|NERO e non solo!"	"Komposition (von)|Interpretation (durch)|Musiklabel"	"1959-|1959-"
401487873	TK 392	TK 392 401487873		Live au zenith (Paris) / Alpha Blondy		"und"	Enth.: Intro: Jah Houphouët Boigny nous parle. Psaume 23. Jerusalem. Masada. Politiki. Cocody rock - Multipartisme. God is one. Dji. Come back Jesus. Benediction	1 Tonkassette ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 392|EMI 7894704"	1992	"London|Paris"	"18181|17840"	EMI	"Musik|Côte d'Ivoire|Populäre Musik"	1995/1399				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/134110536|http://d-nb.info/gnd/134110536"	"Blondy, Alpha|Blondy, Alpha|EMI"	"Blondy, Alpha|Blondy, Alpha|EMI"	"Komposition (von)|Interpretation (durch)|Musiklabel"	"|"
401489396	TK 393	TK 393 401489396		Vol. 2	African	"und"	Enth.: Assitou. Angélique - Sabina. Waka Waka. Tika Nasakola	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 393|FR 0069"	1985	"France"	"4050"	[Verlag nicht ermittelbar]	"Musik|Kongo|Populäre Musik"	1995/1400				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1078251509|http://d-nb.info/gnd/13511263X"	"Lokassa ya M'Bongo|Mangwana, Sam|[Verlag nicht ermittelbar]"	"Lokassa ya M'Bongo|Mangwana, Sam|[Verlag nicht ermittelbar]"	"Interpretation (durch)|Interpretation (durch)|Musiklabel"	"1946-|1945-"
401493067	TK 394	TK 394 401493067		Gwada umvetse / Luka Chinkwakwa and St. John's Band		"und"	Enth.: Njala Nchilombo. Gwada umvetse. Chikondi cha Mulungu. Getseman - Said Mussa. Agogo. Mavuto. Imfa siyisankha	1 Tonkassette ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 394|IYPPB002"	1990	"Lilongwe?"	""	Sounds of Malawi	"Musik|Malawi|Populäre Musik"	1996/352				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1129385620|http://d-nb.info/gnd/1129385701"	"Chinkwakwa, Luka|St. John's Band|Sounds of Malawi"	"Chinkwakwa, Luka|St. John's Band|Sounds of Malawi"	"Interpretation (durch)|Interpretation (durch)|Musiklabel"	"|"
401493741	TK 395	TK 395 401493741		Dalitsani Dziko / Charles Sinetre		"und"	Enth.: Tipempherere anthu akufa. Uyu ndani? Nkhani zodabwitsa. Choipa chimatsata mwini. The sleepig cat - Introducing Charles Sinetre. Kulota Satumana. Rock with me. Who's gonna stop the rain. Dalitsani Dziko	1 Tonkassette ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 395|IYPPB005"	1990	"Lilongwe?"	""	Sounds of Malawi	"Musik|Malawi|Populäre Musik"	1996/353				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1129386279"	"Sinetre, Charles|Sounds of Malawi"	"Sinetre, Charles|Sounds of Malawi"	"Interpretation (durch)|Musiklabel"	""
401496503	TK 396	TK 396 401496503		Ufulu / Alleluya Band		"und"	Enth.: Bwererani. Tinasowa chikondi. Anatiombola. Casa del Signore. Mutipempherere Ife - Marimba. Kondwa mzimu wanga. Ufulu. Chifundo. Anatipatsa Mwami	1 Tonkassette ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 396|AP 015"	1990	"Lilongwe?"	""	Malawin Songs	"Musik|Malawi|Populäre Musik"	1996/354				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1129388700"	"Alleluya Band|Malawin Songs"	"Alleluya Band|Malawin Songs"	"Interpretation (durch)|Musiklabel"	""
401497305	TK 397	TK 397 401497305		Divagaciones / Illapu		"und"	Enth.: Atacameños. Paisaje en Huayno. Sereno. Cancion de octubre. Longuita otalaveña. Pampa Lirima - Tristeza incaica. Aire de nostalgia. Poblacion la victoria. Paisaje de la Puna. Divagaciones	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 397|Alerce ALCL-730"	1992	"Chile"	""	Alerce Producciones Fonográficas	"Musik|Chile|Populäre Musik"	1996/75				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/10280047-9"	"Illapu|Alerce Producciones Fonográficas"	"Illapu|Alerce Producciones Fonográficas"	"Interpretation (durch)|Musiklabel"	""
40150221X	TK 398	TK 398 40150221X		Fiirndé Santa Bamba / Fatou Guewel & Groupe Sope Noreyni		"und"	Enth.: Fiirndé Santa Bamba. Sama Naar Bi. Tope Sa Ndaw. Ndar Ndar - Barak. Mbarasse. Do Sope Kou. Boy Sina	1 Tonkassette ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 398|-"	1995	""	""		"Musik|Senegal|Populäre Musik"	1996/513				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1129393534|http://d-nb.info/gnd/1129393690"	"Guéwel, Fatou|Groupe Sope Noreyni"	"Guéwel, Fatou|Groupe Sope Noreyni"	"Interpretation (durch)|Interpretation (durch)"	"1964-|"
401733726	TK 399	TK 399 401733726		Santa-Ti Cheikh Ibra Fall / Fatou Guéwel		"und"	Enth.: Santa-Ti Cheikh Ibra Fall. Mooda. Ken Genula. Sine - Dara Jarul Di Niaaw. Garmy. Mbaax. Tiiss	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 399|-"	1995	""	""		"Musik|Senegal|Populäre Musik"	1996/522				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1129393534"	"Guéwel, Fatou"	"Guéwel, Fatou"	"Interpretation (durch)"	"1964-"
401734552	TK 400	TK 400 401734552		Aduna / Alioune Mbaye Nder & le Setsima Groupe		"und"	Enth.: Falang. Netali. Ifama Tamba. Fatelikul  Dom - Aduna. Ndimbel. Diambou. Khalifa	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 400|PCS-"	1995	"Dakar"	"44728"	PCS-Pyramide Culturelle Studio 2000	"Musik|Senegal|Populäre Musik"	1996/514				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1129473430|http://d-nb.info/gnd/1129473597"	"Mbaye Nder, Alioune|Setsima Groupe|PCS-Pyramide Culturelle Studio 2000"	"Mbaye Nder, Alioune|Setsima Groupe|PCS-Pyramide Culturelle Studio 2000"	"Interpretation (durch)|Interpretation (durch)|Musiklabel"	"1969-|"
401735303	TK 401	TK 401 401735303		Diapason+ 95 / Youssou Ndour et le Super Etoile		"und"	Enth.: New Africa. Awa Gueye. Casama sa (Casamança). Dem - Djino. Medina. Thioulanta (Thioul Anta)	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 401|-"	1995	"Dakar"	"44728"	Xippi Inc.	"Musik|Senegal|Populäre Musik"	1996/515	Abweichende Track-Reihenfolge auf Cover			Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/119093553|http://d-nb.info/gnd/119093553|http://d-nb.info/gnd/3016189-7"	"N'Dour, Youssou|N'Dour, Youssou|Super-Etoile de Dakar|Xippi Inc."	"N'Dour, Youssou|N'Dour, Youssou|Super-Etoile de Dakar|Xippi Inc."	"Komposition (von)|Interpretation (durch)|Interpretation (durch)|Musiklabel"	"1959-|1959-|"
401737128	TK 402	TK 402 401737128		Sabador	Africando	"und"	Enth.: Sabador - Xale Bile - Yay boy - Sama Thiely - N'Diambaane - Sama Rew	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 402|[SYL] 38133.4"	1994	"Paris"	"17840"	Syllart Productions	"Musik|Senegal|Salsa|Populäre Musik"	1996/516				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1129474798|http://d-nb.info/gnd/1129475026|http://d-nb.info/gnd/1129474836|http://d-nb.info/gnd/1129475204|http://d-nb.info/gnd/108844993X"	"Seck, Pape Samory|Diallo, Médoune|Menheim, Nicolas|Maïga, Boncana|Sylla, Ibrahima|Syllart Productions"	"Seck, Pape Samory|Diallo, Médoune|Menheim, Nicolas|Maïga, Boncana|Sylla, Ibrahima|Syllart Productions"	"Interpretation (durch)|Interpretation (durch)|Interpretation (durch)|Arrangement (von)|Produktion (von)|Musiklabel"	"||||1956-2013"
401737985	TK 403	TK 403 401737985		20 ans déjà! / Omar Pene. Super Diamono		"und"	Enth.: Biitaban. Yakaar. Borom Saret. Woma - Diamono medley. Woudjou Yaye. Borom Saret (Salsa)	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 403|SYL 83195"	1996	"Paris"	"17840"	Syllart Productions	"Musik|Senegal|Populäre Musik"	1996/517				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1065416989|http://d-nb.info/gnd/1065416857"	"Pene, Omar|Omar Pene & Super Diamono|Syllart Productions"	"Pene, Omar|Omar Pene & Super Diamono|Syllart Productions"	"Komposition (von)|Interpretation (durch)|Musiklabel"	"1956-|"
