PPN	Signatur	Product	DateCreated	Artist	
480253978	R 4448 	La reine des bières / Lokassa Kassia - Disc-Orient	1980	Lokassa ya M'Bongo	
480255903	R 4449	Mokili / [Various Artists] - Associated Sound Limited (ASL)	1982	Mandjèkou, Dizzy / Vata Mombassa / Kapela, Asi / Kounkou, Théo Blaise	
480287775	R 4450	 - Albarika Store	1980	Mandjèkou, Dizzy / Moya, Ringo / Lokassa ya M'Bongo / Nyboma / African All Stars	
480288739	R 4451	 - Albarika Store	1979	Mandjèkou, Dizzy / Lokassa ya M'Bongo / Nyboma / Moya, Ringo / African All Stars	
480289883	R 4452	Saïla / Maître Dizzy Mandjeku - Papa-Disco	1981	Mandjèkou, Dizzy	
480296332	R 4455	Ba surprises / Assi Kapela - Aicodis	1983	Kapela, Asi	
480297630	R 4456	Lamine / Asi Kapela - Disc-Orient	1981	Kapela, Asi	
480298637	R 4457	Sama sama / Asi Kapela et Zoe Matondo - Disc-Orient	1981	Kapela, Asi / Matondo, Zoe	
480300488	R 4458	Tantine / N'Zitany Neil - Papa Disco	1982	Kasseya, Souzy / Zitany, Neil	
480302081	R 4459	Gare à toi mon ami / Samy Massa - Disc-Orient	1981	Bumba Massa	
480303207	R 4460	Dede Delphine / Ange Linaud - Papa Disco	1983	Linaud, Ange	
480304742	R 4461	A qui la faute? / Manana Antoine - Ngnassi	1982	Manana, Antoine	
480324832	R 4462	Amour cherche amour / Manana Antoine - Papa-Disco	1983	Manana, Antoine	
480342512	R  4464	Kouamé / Syran M'Benza - Adios Records	1980	Mbenza, Syran	
480347298	R 4468	Verre cassé / Simarro - Rythmes et Musique Production	1985	Simaro <Musiker>	
480457158	R 4469	Hortense / Ndombé Opetum "Pepe" - Anytha-Ngapy Productions	1989	Ndombe, Pepe	
480458251	R 4470	Fiona Fiona / Mayaula Mayoni - Rythmes et Musique Production	1987	Mayaula Mayoni / Carlito / Malage de Lugendo	
480459258	R 4471	Bon anniversaire / Mayaoula Mayoni - Disc-Orient	1982	Mayaula Mayoni	
480460094	RS 2461	Ngui-Ngon / N'Dombe Opetum, Sam Manwana. Orch. Tiers Monde Cooperation - Victoria Music Store	1980	Ndombe, Pepe / Mangwana, Sam / Tiers Monde Coopération	
48046037X	R 4472	Veya / Mayaula Mayoni - Associated Sound Limited (ASL)	1985	Mayaula Mayoni	
480461570	R 4473	Chérie bondowé 2 / Mayaoula Mayoni - Disc-Orient	1982	Mayaula Mayoni	
480462526	R 4474	Ba patrons / Joe Mpoyi, L. Diatho - Maïkano	1982	Mpoyi, Joe / Diatho, Lukoki	
480465304	R 4476	Baiser de Judas / Malage de Lugendo - Syllart Records	1988	Lugendo, Malage de	
480520801	R 4477	Za moke / Papa Noel ya nono - Rythmes et Musique Production	1985	Papa Noël	
480521360	R 4478	Allegria / Papa Noël - Vilnair Production (PROVIL)	1985	Papa Noël	
480522170	R 4479	Bon samaritain  / Nedule Papa Noel - Aipa ; Brazzaville : I.A.D. Sound (Industrie Africaine du Disques)	1984	Papa Noël	
480522944	R 4480	Na boyi libala / Lutumba Simaro - Productions Souk	1985	Simaro <Musiker>	
480523886	R 4481	Mizele / Mayaula Mayoni et Le Tout Puissant OK Jazz - Alia Music	1985	Mayaula Mayoni / Carlito / Malage de Lugendo / Tout-Puissant OK Jazz	
480544298	R 4482	Pépé Kallé chante le poète Simaro Massiya / Simaro Massiya - J. M Production	1989	Simaro <Musiker> / Pépé Kallé	
480545766	R 4483	Verre cassé / Pépé Kallé et Carlito chantent Simaro Massiya - Alia Music	1984	Simaro <Musiker> / Carlito / Pépé Kallé	
480547432	R 4484	Maya / Simarro Massiya - I.A.D. (L'Industrie Africaine du Disque)	1985	Simaro <Musiker>	
