PPN	Signatur	Product	DateCreated	Artist	
020812582	R 2386	Zai͏̈re - polyphonies Mongo / enregistrements réalisés en République Démocratique du Zai͏̈re par Benoit Quersin - Disques Ocora (Radio France), Harmonia Mundi France [Vertrieb]	1982	Quersin, Benoit	
025292234	R 1855	Pablo, Pablo! / Pablo Lubadika Porthos - Globe Style Records [u.a.]	1985	Pablo <Musiker>	
035025034	CD 47	Zai͏̈re: entre les lacs et la forêt : la musique des Nande / enregistrement (1986, 1988) et texte de présentation: Serena Facci, [Verschiedene, teilweise im Booklet genannte Interpret*innen] - Disque VDE-Gallo	1991	Facci, Serena	
049051253	CD 1148	1953 - 1954 - Crammed Discs	1991	Kenis, Vincent	
049051326	CD 2262	1954 - 1955 - Crammed Discs	1995	Kenis, Vincent	
049157175	CD 1655	Toleki bango / Classic Swédé Swédé - Cramworld/Crammed Discs	1991	Classic Swédé Swédé / Classic Swédé Swédé	
051811057	CD 1079	Sabsylma / Zap Mama. Musiques, textes et arrangements: Marie Daulne ... - Crammed Discs, Columbia	1994	Daulne, Marie / Zap Mama	
071552979	CD 449	Nouvelle ecriture / Viva la Musica & Papa Wemba - Sonodisc	1997	Wemba, Papa / Viva la Musica	
09343961X	CD 2230	Africa worldwide : 35th anniversary album / Tabu Ley Seigneur Rochereau et l'Orchestre Afrisa International - Rounder Records	1996	Ley, Tabu / Ley, Tabu / Afrisa International Orchestra	
102227535	Af 7 1071	Lumumba Patrice : les cinquante derniers jours de sa vie / par G. Heinz et H. Donnay - C. R. I. S. P.	1966	Heinz, G. / Donnay, H. / Lumumba, Patrice É.	
109708202	CD 2606	Ngoma : the early years, 1948 – 1960 / [Diverse Interpret*innen] - Popular African Music	1996	Ngoma	
109708237	CD 2605	Ngoma : souvenir ya l’indépendance / [Diverse Interpret*innen] - Popular African Music	1997	Ngoma	
121696715	R 1865	Live recording of the Afro European Tour / "Franco" Luambo Makiadi & his O.K. Jazz - African	1978	Franco <Musiker> / Tout-Puissant OK Jazz	
121697770	R 900	The best ambiance / Bibi Dens Tshibayi - Sacko Prod.	1982	Tshibayi, Bibi Den's	
121698912	R 902	Phénomène : la reine Cléopatre / Mbilia Bel - Creation PIM 2001 Willybiro	1988	Bel, M'bilia	
121903990	R 2354	Johnny Bokelo et son Orchestre Conga. Dewayon et Orchestre Cobantou - African	1969	Bokelo, Johnny / Dewayon / Conga Succès / Orchestre Cobantou / Orchestre Vox-Negros	
121905489	R 315	 / Orchestre Negro Succes - African (Sonodisc)	1970	Orchestre Negro Succes	
121906280	R 1259	OK Jazz 1960/62 [Vol. 2] / OK Jazz - African, Sonodisc (Distr.)	1964	Franco <Musiker> / Tout-Puissant OK Jazz	
121910601	R 1860	Seigneur Ley on Tour / Tabu Ley et Orchestre Afrisa International - African	1978	Ley, Tabu / Afrisa International Orchestra	
121912388	R 2358	M'Bombo / Tshala Muana - Eds. Kaluila, Gefraco (Distr.)	1988	Muana, Tshala	
121927938	R 2365	Chagrin - Dimone / Defao de Choc Stars - Eds. Kaluila, Gefraco (Distr.)	1988	Defao / Choc Stars	
121928985	R 1857	L'intrepide Bavon Marie-Marie : a titre posthume cet album est dédié à Bavon Marie Marie / Bavon Marie-Marie & l'Orchestre Negro Succes - African	1970	Bavon Marie-Marie / Orchestre Negro Succes	
12192999X	R 2348	Beatrice Adele / Soukous Gang Musika. Monsieur Jaques & Mick Jo Lusala - Nubian Productions, Stern's Records (Distr.)	1992	Monsieur Jaques / Lusala, Mick Jo / Soukous Gang Musika	
121930335	R 2215	Gérant / Pepe Kalle - Syllart Production	1991	Pépé Kallé	
121930505	R 2363	Toleki bango (miles ahead) / Classic Swédé Swédé - Crammed Discs	1991	Classic Swédé Swédé	
121930564	R 2355	Flash 7 / Miriam Makeba, Rochereau, Kallé, Jean Bokelo ... - African	1966	Makeba, Miriam / Ley, Tabu / Kabasele, Joseph / Bokelo, Johnny / African Fiesta / African Jazz / Conga Succès	
121946231	R 2224	Mokili ya Nzambe / Docteur Nico et son orchestre - African	1969		
121946371	R 913	Toute l'Afrique danse / avec le Docteur Nico et son Orchestre African Fiesta - Sonafric (Sonodisc)	1975	Nico <Docteur> / African Fiesta	
121946584	R 2229	Vol. 1 - INA Productions, Disco Stock	1980	Ley, Tabu / Afrisa International Orchestra	
121946819	R 1856	Souvenir de l'African Jazz / Le Grand Kallé. African Jazz - 	1970	Kabasele, Joseph / African Jazz	
122024680	R 2350	Le phénomène / Lucide-Galant - Lilian Ma-Ta-Vi Productions, Sonodisc (Distr.)	1990	Ma-Ta-Vi, Lilian / Galant, Lucide	
122024850	R 2046	L'évenement! Rochereau et Franco à Paris / Tabu Ley Rocheraeu et Franco Luambo Makiadi - Genidia, Sonodisc (Distr.)	1983	Ley, Tabu / Franco <Musiker> / Afrisa International Orchestra	
122024982	R 2038	Désolé!!! / Mbilia Bel - Kamara Sound, Celluloid	1991	Bel, M'bilia	
122025067	R 2039	Beyanga / Mbilia Bel - Genidia, Sonodisc (Distr.)	1986	Bel, M'bilia	
122025164	R 903	Boya ye / Mbilia Bel - Genidia	1985	Bel, M'bilia	
122025237	R 2041	Keyna et Cadence Mudanda / Mbilia Bel et Tabu Ley - Genidia, Sonodisc (Distr.)	1984	Ley, Tabu / Bel, M'bilia	
122025350	R 2043	Afro International / Jolie Detta - Izason, Ed. Veve Internat. (Distr.)	1985	Detta, Jolie	
122025571	R 2047	Afrisa L'International / Tabu Ley & l'Orchestre Afrisa - African, Sonodisc (Distr.)	1973	Ley, Tabu / Afrisa International Orchestra	
122025873	R 2048	Pitié / Tabu Ley & l'Orchestre Afrisa - African, Sonodisc (Distr.)	1972	Ley, Tabu / Afrisa International Orchestra	
122025903	R 2049	Sarah / Seigneur Tabu Ley avec l'Orchestre Afrisa International - Genidia, Sonodisc (Distr.)	1984	Ley, Tabu / Afrisa International Orchestra	
122026195	R 2051	Dr. Nico et les Redoutables aux USA / Dr. Nico & Les Redoutables - Africa New Sound	1985	Nico <Docteur> / Redoutables	
122026543	R 2035	Massengo malingi yo / Trio Madjesi et Orchestre Sosoliso (avec la participation d'Air Zaire) - African	1973	Trio Madjesi / Orchestre Sosoliso	
122026632	R 2050	Le Seigneur Rochereau dans la musique congolaise de variétés / Tabu Ley Rochereau & L'Orchestre African Fiesta National "Le Peuple" - African	1970	Ley, Tabu / African Fiesta	
122026683	R 2052	Gigant-Afrique : the bombe atomique of Zairean music / Pépé Kallé - Globe Style	1990	Pépé Kallé / Empire Bakuba	
122050762	R 2217	L'argent ne fait pas le bonheur / Pépé Kallé - Gefraco	1988	Pépé Kallé	
122050983	R 2194	Gaia / Ray Lema - Mango (Island Records)	1990	Lema, Ray	
122063317	R 1862	OK Jazz 1960/62 [Vol.1] / OK Jazz - African, Sonodisc (Distr.)	1962	Franco <Musiker> / Tout-Puissant OK Jazz	
122063813	R 2037	Moto Akokufa / Faya Tess - La Sirène d'eau douce - Genidia, Sonodisc (Distr.)	1988	Ley, Tabu / Tess, Faya / Afrisa International Orchestra	
122064283	R 1858	N'Gothias N'Gothias / Afi La Princesse - 	1978	Afi	
122065603	R 1240	Je suis faché / Abeti - Bade Stars Music	1985	Abeti / Redoutables	
122308166	R 046	Bibile / Abeti - African Music Explosion Records (Makossa Records)	1975	Abeti	
122335422	R 2351	Les Mayeno a gogo / L'orchestre T.P.O.K Jazz (Héritage de Franco) avec le Commandant Josky Kiambukuta - Edition Masiya, E.B.S. (Distr. Europe)	1991	Josky / Tout-Puissant OK Jazz	
122337255	R 2036	Télégramme / Trio Madjesi d'Afrique - Galadisk	1980	Trio Madjesi	
122337859	R 2195	Franco et l'Orchestre O.K. Jazz - African	1968	Franco <Musiker> / Tout-Puissant OK Jazz	
122338170	R 050	Docteur Nico & L'Orchestre African Fiesta Sukisa / Docteur Nico & L'Orchestre African Fiesta Sukisa - African	1970	Nico <Docteur> / African Fiesta	
12233941X	R 2346	Le Congo danse / Orchestre OK Jazz ... - Pathé Marconi	1966	Franco <Musiker> / Pamelo / Dibango, Manu / Longomba, Victor / Mamadou, Ntounta Albert Alias / Gérard, Biyela / Ebeny, Paul / Tout-Puissant OK Jazz / Orchestre Bantou / Orchestre Beguen Band / Orchestre Ambiance Jazz / Orchestre Cercul Jazz	
122339673	R 2225	Afrique de l'Ouest / Docteur Nico. Orchestre African Fiesta Sukisa - African, Sofrason (Distr.)	1970	Nico <Docteur> / African Fiesta	
122339762	R 447	L'Afrique Danse / [div. Interpreten] - African (Sonodisc)	1966	Kabasele, Joseph / Kwami / Bavon / Bholen / Robin, ... / African Jazz / Orchestre Negro Succes	
122339878	R 2359	S.O.S. Passe Partout / Lubumbashi Stars - Sonodisc	1994	Lubumbashi Stars	
122339975	R 2360	African Jazz / Orch. African Jazz - African	1964	African Jazz	
122340043	R 2349	Orchestre OK Jazz, Conga Succès ... - African	1966	Franco <Musiker> / Bokelo, Johnny / Mujos / Longomba, Victor / Alberto / Mogo / Conga Succès / Tout-Puissant OK Jazz	
122363213	R 2361	Aladji / Sam Mangwana - Shanachie Records	1989	Mangwana, Sam	
122363442	R 2366	Fatimata - Capita Général / Sam Mangwana - Surya	1986	Mangwana, Sam	
122847334	R 2213	Volume 2 / Kalle & L'African Team - African, Sofrason (Distr.)	1970	Kabasele, Joseph / African Team de Paris	
122847520	R 2332	Bridge over the Congo / O.K. Jazz, Orchestre Bantous, Orchestre Cercul - Parlophone (EMI)	1964	Tout-Puissant OK Jazz / Les Bantous de la Capitale / Orchestre Cercul Jazz	
122847903	R 314	 / Orchestre Conga Succes - African (Sonodisc)	1970	Bokelo, Johnny / Conga Succès	
122848012	R 2228	Dernière Mémoire / Docteur Nico & Empompo Deyesse - 	1990	Nico <Docteur> / Deyesse, Empompo	
122848160	R 2357	Tyka 'ngai / Pablo Lubadika - Voix d'Afrique	1984	Pablo <Musiker>	
122848284	R 781	C'est comme ça la vie / Seigneur Rochereau Tabu Ley et le consortium Musical: AFRISA International - Genidia, Sonodisc (Distr.)	1989	Ley, Tabu / Afrisa International Orchestra	
122848365	R 319	Attention na Sida : le Grand Maître Franco interpelle la société / Franco - African Sun Music	1987	Franco <Musiker> / Tout-Puissant OK Jazz	
122848497	R 049	Succès d'hier / Rochereau et l'orch. African Fiesta ... - African (Sonodisc)	1964	Ley, Tabu / Bholen / African Fiesta / Orchestre Negro Succes / African Jazz	
122848608	R 300	Eternel Docteur Nico [2] / Docteur Nico et l'Orchestre African Fiesta - African (Sonodisc)	1986	Nico <Docteur> / African Fiesta	
122848691	R 2234	Femme d'autrui / Seigneur Ley Rochereau avec l'orchestre l'Afrisa International - Genidia, Sonodisc (Distr.)	1983	Ley, Tabu / Afrisa International Orchestra	
122849132	R 405	Choc à distance / Loketo, le no. 1 du Soukouss - J.I.P. - Jimmy Hoetinou Intern. Production	1989	Mabélé, Aurlus / Loketo	
122850807	R 2042	Ominga / Mbilia Bel et Abby Surya - Tamaris	1989	M'Pompon / Pépé Kallé / Bel, M'bilia / Surya, Abby	
122851323	R 295	 - African	1985	Ley, Tabu / Mangwana, Sam / African Fiesta	
122851404	R 458	Le Seigneur Rochereau á l'Olympia / Seigneur Rochereau - African (Sonodisc)	1971	Ley, Tabu	
122851536	R 2338	Ave Maria Limbisa / Les Bantous de la Capitale Bakolo M'boka - Bade Stars	1987	Les Bantous de la Capitale	
122851560	R 2233	Ki-Makango mpe libala / Le Seigneur Rochereau et l'African Fiesta National Le Peuple - African	1969	Ley, Tabu / African Fiesta	
122851617	R 2232	Dernières Nouveautés / Tabu Ley "Rochereau" et l'Orchestre Afrisa International - African, Sonodisc (Distr.)	1979	Ley, Tabu / Afrisa International Orchestra	
122851633	R 2198	Éditions populaires / Franco et l'Orchestre TP OK Jazz - African	1974	Franco <Musiker> / Tout-Puissant OK Jazz	
122851749	R 2212	Volume 3 / Kalle & L'African Team - African, Sofrason (Distr.)	1970	Kabasele, Joseph / African Team de Paris	
122887468	R 410	Cherche une maison à louer pour moi chéri / Le Grand maitre Franco - Nana - Baniel et le T.P. O.K. Jazz - African Sun Music	1988	Franco <Musiker> / Tout-Puissant OK Jazz / Baniel et Nana	
122887573	R 2372	Live chez "Un-Deux-Trois" à Kinshasa / Orchestre T.P. O.K. Jazz - Éditions Populaires, African	1977	Franco <Musiker> / Tout-Puissant OK Jazz	
122887638	R 309	Franco et l'O.K. Jazz / Franco et l'Orchestre O.K. Jazz - Sonodisc (African)	1986	Franco <Musiker> / Tout-Puissant OK Jazz	
122887867	R 293	Belle époque, Vol. 1 / Seigneur Rochereau Tabu Ley & L'African Fiesta - Sonodisc (African)	1970	Ley, Tabu / African Fiesta	
122887905	R 294	Volume 2 / Seigneur Rochereau Tabu Ley & L'African Fiesta - Sonodisc (African)	1971	Ley, Tabu / African Fiesta	
122888014	R 075	Vol. 4 / Seigneur Rochereau et l'African Fiesta National - African (Sonodisc)	1969	Ley, Tabu / African Fiesta	
122888251	R 051	Le Seigneur Rochereau et l'Orchestre African Fiesta National "Le Peuple" / Rochereau et l'Orchestre African Fiesta - African	1969	Ley, Tabu / African Fiesta	
12288857X	R 296	African Fiesta / Depuissant ; Dechaud ; Rochereau ; Mujos ; Izeidi. African Fiesta - African (Sonodisc)	1986	Depuissant / Mwamba, Charles / Ley, Tabu / Mujos / Izeidi, Roger / African Fiesta	
122888731	R 939	African Fiesta / African Fiesta. Rochereau ... - African	1965	Ley, Tabu / African Fiesta	
122888995	R 316	OK Jazz : vol. 4 / Orch. O.K. Jazz - African	1963	Franco <Musiker> / Tout-Puissant OK Jazz	
12288924X	R 2216	Cé Chàlè Carnaval - Tiembe Rai͏̈d Pa Moli : remix / Pepe-Kalle - Afro Rhythmes, Mélodie (Distr.)	1990	Pépé Kallé	
12289104X	R 1800	N'kolo m'boka : Jamais sans nous / Zai͏̈ko Langa Langa - Tamaris	1994	Zaïko Langa Langa	
122891201	R 1846	Éditions populaires, 10e anniversaire : 1965 - 1975 / Luambo Makiadi & Orchestre OK Jazz - African	1976	Franco <Musiker> / Tout-Puissant OK Jazz	
122891406	R 1845	OK Jazz : vol. 3 / Orch. O.K. Jazz - African	1964	Franco <Musiker> / Tout-Puissant OK Jazz	
12289152X	R 1844	La voix des ancêtres / Princess Mansia M'Bila - M.M. Records	1991	M'Bila, Mansia	
122891597	R 2196	Attaquent Anjela / Le Grand Maitre Franco - Pepe Ndombe et le T.P.O.K. Jazz - Choc/African Sun Music	1988	Franco <Musiker> / Ndombe, Pepe / Tout-Puissant OK Jazz	
122891724	R 2339	The Missa Luba / Les Troubadours du Roi Baudouin ; arranged and conducted by Pére Guido Haazen, O.F.M. - Philips	1969	Haazen, Guido / Troubadours du Roi Baudouin	
122891783	R 2340	Missa Luba : a mass sung in pure congolese style, and native songs of the congo / sung by Les Troubadours du Roi Baudouin ; directed by Père Guido Haazen - Philips	1965	Haazen, Guido / Troubadours du Roi Baudouin	
122892151	R 415	Abeti (en colère) / Abeti - Bade Star Music	1987	Abeti	
122892275	R 297	Hommage au Grand Kallé, Vol. 1 : un pionnier de la chanson africaine / Joseph Kabassélé et L'African Jazz - Sonodisc (African)	1984	Kabasele, Joseph / Mwamba, Charles / Ley, Tabu / Mujos / Nico <Docteur> / African Jazz	
122892305	R 298	Hommage au Grand Kallé, Vol. 2 : un pionnier de la chanson africaine / Joseph Kabassélé et L'African Jazz - Sonodisc (African)	1984	Kabasele, Joseph / Longomba, Victor / Nico <Docteur> / Mwamba, Charles / African Jazz	
122892356	R 2211	Gauche/droite=débordement / Le Grand Kalle, Don Gonzalo, Manu Dibango et l'African Team - African, Sofrason (Distr.)	1970	Kabasele, Joseph / Gonzalo, Don / Dibango, Manu / African Team de Paris	
122892402	R 2235	Babeti soukous / Tabu Ley Seigneur Rochereau and Afrisa International Orchestra - Realworld Records, Virgin Records [Vertrieb]	1989	Ley, Tabu / Afrisa International Orchestra	
122985192	R 444	Soum-Djoum / Seigneur Tabu Ley Rochereau et Afrisa de l'an 2000 [Orch. Afrisa International] - Genidia (Sonodisc)	1989	Ley, Tabu / Afrisa International Orchestra	
122985303	R 445	Ebouroumounkoue / Beyou Ciel par le Seigneur Ley et l'Orchestre Afrisa International - Genidia (Sonodisc)	1988	Ciel, Beyou / Ley, Tabu / Afrisa International Orchestra	
122985435	R 2371	Nsele paradis ya Congo / L'incomparable Gérard Kazembe et son Orchestre Jambo-Jambo - African	1971	Kazembe, Gérard / Orchestre Jambo-Jambo	
122985583	R 2197	Franco et l'O.K. Jazz à Paris / Franco. Orchestre O.K. Jazz - Pathé Marconi (EMI)	1970	Franco <Musiker> / Tout-Puissant OK Jazz	
122985745	R 047	Vol.1 / Kalle et L'Ensemble African Team de Paris ... - African	1968	Kabasele, Joseph / Ley, Tabu / Kasabelle / Mounk'a, Pamelo / African Team de Paris / African Fiesta / Conga Succès / African Jazz / Orchestre Negro Succes / Orchestre Vox Africa	
122985982	R 048	Vol. 2 / Orchestre African Fiesta ... - African	1968	Nico <Docteur> / Bokelo, Johnny / Pierrot, Don / Dewayon / African Fiesta / Conga Succès / Orchestre Vox Africa / Orchestre Cobantou / Tout-Puissant OK Jazz / African Jazz	
122986105	R 1867	African Party / Franco & l'Orchestre T.P. O.K. Jazz - African	1977	Franco <Musiker> / Tout-Puissant OK Jazz	
122986415	R 1868	Les merveilles du passé / Orchestre African Fiesta - African, Sonodisc (Distr.)	1970	Izeidi, Roger / African Fiesta	
122986512	R 1870	Congo? Bolingo! / [div. Interpreten] - Columbia/EMI	1968	Nzié, Anne-Marie / Orchestre Negro Band / Tout-Puissant OK Jazz / Orchestre Bantou / Orphee Jazz / Orchestre Cercul Jazz	
122986636	R 1869	Grand succès de l'orchestre OK Jazz / Orchestre OK Jazz - African	1977	Franco <Musiker> / Tout-Puissant OK Jazz	
123133033	R 2033	Casamance / Kibwe - Octet Music	1985	Kibwe	
123483085	R 2193	The sound of Kinshasa : guitar classics from Zaire / Compiled & produced by John Storm Roberts. [Diverse Interpreten] - Original Music	1990	Roberts, John Storm	
123483700	R 2192	Guitar songs from Tansania, Zambia & Zaire / Producer: John Storm Roberts - Original Music	1990	Roberts, John Storm / Abelo, Losta / Yirung, Kayembe / Nambi, Soki / Mkwawa, Joseph / Piana, Chola / mwaKitime, Francis	
124193323	R 989	Le bucheron / Franklin Boukaka. Arr. et dir. orchestre Manu Dibango - Sonafric	1974	Boukaka, Franklin / Dibango, Manu / Boukaka, Franklin	
124393756	R 1848	Holiday in Afrika / [div. Interpreten] - Columbia, Electrola	1975	Franco <Musiker> / Les Bantous de la Capitale / Orchestre Mando Negro Kwala Kwa / Tout-Puissant OK Jazz / Orchestre Sinza / Orchestre Hi-Fives	
124630332	R 2063	Virunga volcano / Samba Mapangala & Orchestre Virunga - Earthworks/Virgin Records	1990	Mapangala, Samba / Samba Mapangala et son Orchestre Virunga	
124652131	R 2077	20th Anniversary : 1956-1976 special edition / Baba Gaston & Orchestre Baba National - Apollo	1976	Baba Gaston / Orchestre Baba National	
124676952	TK 1915	Mikombo wa Kaleo : Misambu ne Nsumwinu ya bena Kasai / Sangalayi - 	1990	Kazadi, S. / Lusamba, M.K. / Lusamba, M.M. / Mpunga, W.I. / Mubedi, I. / Ndekenya, L. / Nzembela, K. / Sangalayi	
124751733	RS 54	Aleisia / Katele & Super Mazembe - EMI	1975	Kanindo, Phares Oluoch / Katele / Super Mazembe	
124751903	RS 309	South View / Super Mazembe - AIT Records (K) Ltd./EMI (East Africa)	1977	Super Mazembe	
124752012	RS 53	Naleli libota / Katele & Super Mazembe - EMI (AIT Records)	1975	Jakomo, Abdalla F. / Katele / Super Mazembe	
124752160	RS 48	Mwana Mazembe / Katele & Super Mazembe - EMI	1975	Katele / Kanindo, Phares Oluoch / Super Mazembe	
124752225	RS 49	Sala Keba / Bukalos & Super Mazembe - EMI	1975	Bukalos / Kanindo, Phares Oluoch / Super Mazembe	
124752268	RS 51	Nanga / Lovy & l' orchestre Super Mazembe - EMI (AIT Records)	1975	Jakomo, Felix / Lovy / Super Mazembe	
124752381	RS 50	Na bimaka / Katele & Super Mazembe - EMI	1975	Katele / Kanindo, Phares Oluoch / Super Mazembe	
124752489	RS 52	Atia-Jo / Super Mazembe - EMI (AIT Records)	1975	Jakomo, Abdalla F. / Super Mazembe	
124752594	RS 316	Samba / Super Mazembe - A.I.T. Records	1977	Kanindo, Phares Oluoch / Super Mazembe	
124752675	RS 315	Mokano / L'orch. Super Mazembe - A.I.T. Records	1975	Jakomo, Abdalla F. / Super Mazembe	
124752705	RS 313	Ilena Part / Super Mazembe - AIT Records (K) Ltd.	1977	Jakomo, Abdalla F. / Super Mazembe	
124752756	RS 312	Shida / Super Mazembe - AIT Records (K) Ltd./EMI (East Africa)	1977	Kanindo, Phares Oluoch / Super Mazembe	
124752802	RS 311	Izabella / Super Mazembe - AIT Records (K) Ltd./EMI (East Africa)	1978	Kanema, Kasongo wa / Kanindo, Phares Oluoch / Super Mazembe	
12475287X	RS 310	Okova / Super Mazembe - AIT Records (K) Ltd./EMI (East Africa)	1977	Jakomo, Abdalla F. / Super Mazembe	
12476424X	RS 352	Elee / Lovy. L'orch. Super Lovy - A.I.T. Records	1975	Longoma, Lovy / Jakomo, Felix / Orchestre Super Lovy	
124764290	RS 353	Mokili / Lovy. L'orch. Super Lovy - A.I.T. Records	1975	Longoma, Lovy / Jakomo, Felix / Orchestre Super Lovy	
12476441X	RS 355	Ye-Ye-Ye / Lovy. L'orch. Super Lovy - A.I.T. Records	1975	Longoma, Lovy / Jakomo, Felix / Orchestre Super Lovy	
124764487	RS 356	Eli / Lovy. L'orch. Super Lovy - A.I.T. Records	1975	Longoma, Lovy / Jakomo, Felix / Orchestre Super Lovy	
124764622	RS 259	Biatondi kasanda / Nico & l'Orchestre African Fiesta - ASL (East Africa)	1975	Nico <Docteur> / African Fiesta	
124778151	TK 112	Saisie en douane 20 ans deja / Zaiko Nkolo-Mboka & Baroza - [Gallo Records]	1996	Baroza, Tino / Zaiko Nkolo-Mboka / Zaiko Nkolo-Mboka	
124781721	RS 280	Nazonga mboka - 1 / Orchestre Zeke Monano. Yefu - A.I.T. Records	1977	Yefu / Orchestre Zeke Monano	
12562817X	RS 274	Jetty / Les Mushamba Number One de Brazzaville. Mbouma Joe-Lebb - Sonodisc	1970	Mbouma, Joe-Lebb / Mushamba Number One de Brazzaville	
12562820X	RS 150	Eh Baninga Boyoka nanu po / Chem-Chem Yetu - petits chanteurs-dancers du carrefour des jeunes, Kinshasa Zaire - Soneca	1970	Mampasi, Lukoki / Boom, Bernard van den / Chem-Chem Yetu	
125628285	RS 151	Zaire (chants révolutionnaires) / Chem-Chem Yetu - petits chanteurs-danceurs de Kinshasa (Zaire) - Soneca	1970	Chem-Chem Yetu	
125628714	RS 282	Bakokabolakate / L'Orchestre Makassy. Mose Fan Fan - A.I.T. Records	1980	Se Sengo, Mose / Orchestre Makassy	
125628935	RS 146 	Tu m'as decu chouchou / Orchestre African Fiesta - African	1968	Nico <Docteur> / African Fiesta	
125628978	RS 147	Discipline na K.D.L. / Kallé & l'African Team de Paris - 	1970	Kabasele, Joseph / African Team de Paris	
125629184	RS 03 	Nyako-Konya / Badibanga wa Tshilumba, Orchestre Les Mangelepa - ASL	1975	Tshilumba, Badibanga wa / Orchestre Les Mangelepa	
125629249	RS 343	Double Double / Nyboma - A.I.T. Records	1970	Nyboma	
125633688	RS 157	Mbelengo 1er / Orch[estre] Zaiko Langa-Langa - Soneca Zaire	1975	Obale, Bimi / Zaïko Langa Langa	
12563370X	RS 156 	Zibola 20e siècle / Orch. Makina Loka - Soneca Zaire	1970	Opetum, Ndombe / Makina Loka	
125656823	RS 275	Masumu / Sammy Massamba. Dikalo ; Safari Ambiance - Sonodisc	1980	Massamba, Sammy / Dikalo / Safari Ambiance	
125666500	RS 250	Matoba / Orchestre Lipua-Lipua. Mbubi Malanda - Editions Vévé	1976	Malanda, Mbubi / Orchestre Lipua-Lipua	
125666926	RS 251	Abisina / Orchestre Les Kamalé. Nyboma Mwan'dido - Edition Vévé	1976	Nyboma / Orchestre Les Kamale	
125667132	RS 433	Botuna bankolo mboka / Orchestre OK Jazz - Pathé Marconi	1970	Franco <Musiker> / Longomba, Victor / Edo / Tout-Puissant OK Jazz	
125667272	RS 218	Yenga / Africanova Anthony. Orchestre Super Jambo - E.I.T. Pub.	1977	Africanova, Anthony / Fombe, George / Orchestre Super Jambo	
125667337	RS 221	Etat de santé / Orchestre Kili-Kili. L.M. Kiland - E.I.T. Pub. [u.a.]	1977	Kiland, L.M. / Orchestre Kili-Kili	
125667388	RS 227	Christmas / Orchestre Mbuta-Mbuta - E.I.T. Pub.	1977	Orchestre Mbuta-Mbuta	
125667477	RS 220	Bo Moto Manytsho : Nsilu Baba Nsilu / Orchestre Bana Ngenge - AIT Records Kenya	1976	Kabaka, Daudi / Orchestre Bana Ngenge	
125667574	RS 232	Pesa toli / Lawi Somana Orchestre. Lawi Som - E.I.T. Pub.	1976	Som, Lawi / Lawi Somana Orchestre	
125667647	RS 228	Nzela ya Mombasa wekuze / Orchestre Bana Ngenge - E.I.T. Pub.	1976	Muissa, Mandala / Orchestre Bana Ngenge	
125667795	RS 217	Lisano / Diabanza ; Johnny Ko. Les Kinois Band - E.I.T. Pub.	1977	Diabanza Niki Djo, Walengo / Fombe, Georges / Ko, Johnny / Kinois Band	
125667892	RS 216	East Africa / Pele Ondindia. Les Kinois Band - E.I.T. Pub.	1977	Ondindia, Pele / Fombe, Georges / Kinois Band	
125668147	RS 214	Marte / Bibi Kaba Kaba. Les Kinois Band - E.I.T. Pub.	1977	Kaba Kaba, Bibi / Fombe, Georges / Kinois Band	
12566818X	RS 213	Lavie / Bosenza. Les Kinois Band - E.I.T. Pub.	1977	Bosenza / Fombe, Georges / Kinois Band	
125668295	RS 231	Sola / Maquis du Zaire. M.M. Adios - E.I.T. Pub.	1975	Otieno, John / Adios, M.M. / Maquis du Zaire	
12566835X	RS 230	Bolingo / Mukala wa Mulumba. Orchestre Mbuta-Mbuta - E.I.T. Pub.	1977	Mulumba, Mukala wa / Orchestre Mbuta-Mbuta	
125668422	RS 229	Ewawa na Mapendo / Mukala wa Mulumba. Orchestre Mbuta Mbuta - E.I.T. Pub.	1977	Mulumba, Mukala wa / Orchestre Mbuta-Mbuta	
125668503	RS 225	Nalembi yo te / Orchestre Mabatalai - E.I.T. Pub.	1977	Kiland, L.M. / Orchestre Mabatalai	
125668597	RS 224	Matadi sacré / Orchestre Iko-Iko - E.I.T. Pub.	1977	Kiland, L.M. / Orchestre Iko-Iko	
125668686	RS 223	Wapi emancipation / Orchestre Momeko - E.I.T. Pub.	1977	Kiland, L.M. / Orchestre Momeko	
125668724	RS 222	Mayimona Gentil / Orchestre Momeko - E.I.T. Pub.	1977	Kiland, L.M. / Orchestre Momeko	
125668767	RS 226	Tokilingana / Orchestre Kiamono - E.I.T. Pub.	1977	Kimenay / Orchestre Kiamono	
125668821	RS 219	Edith / Africanova Anthony. Orchestre Super Jambo - E.I.T. Pub.	1977	Africanova, Anthony / Fombe, George / Orchestre Super Jambo	
125668872	RS 215	Pola / Bibi Kaba Kaba. Les Kinois Band - E.I.T. Pub.	1977	Kaba Kaba, Bibi / Fombe, Georges / Kinois Band	
125670052	RS 371	Santa Viviana / Orchestre Negro-Band (A tout casser) - Pathé Marconi	1970	Kasanaut, D. / Orchestre Negro Band	
125670206	RS 238	Songi songi ezalimabe / K.P. Flammy ... et l'Orchestre Jazz Beguen - Ngoma	1960	Flammy, K.P. / Orchestre Beguen Band	
125670648	RS 236	Yele bizekele / Fely ; Chopin et l'Orchestre Negrita Jazz - Ngoma Records - Jeronimidis	1962	Fely, Pépé / Demaquet / Chopin / Orchestre Negrita Jazz	
