PPN	Signatur_PPN	Pk dB Range	Objekttitel	Objektbeschreibung	Umfang	Weitere Nummer (Signatur)	Weitere Nummer (Verlagsnr.)	Datum	Ort	Label	Schlagwörter	Teilsammlung (AMA)	Weitere Informationen	GND-ID (1.)	Kategorie (1.)	Rolle (1.)	Name (1.)	Bemerkung (1.)	GND-ID (2.)	Kategorie (2.)	Rolle (2.)	Name (2.)	Bemerkung (2.)	GND-ID (3.)	Kategorie (3.)	Rolle (3.)	Name (3.)	Bemerkung (3.)	GND-ID (4.)	Kategorie (4.)	Rolle (4.)	Name (4.)	Bemerkung (4.)	GND-ID (5.)	Kategorie (5.)	Rolle (5.)	Name (5.)	Bemerkung (5.)	GND-ID (6.)	Kategorie (6.)	Rolle (6.)	Name (6.)	Bemerkung (6.)	GND-ID (7.)	Kategorie (7.)	Rolle (7.)	Name (7.)	Bemerkung (7.)	etc.	
121696715	R 1865 121696715	-12.41 / -9.01	Live recording of the Afro European Tour / "Franco" Luambo Makiadi & his O.K. Jazz	Enthält: Oh! Miguel. Sala lokola luntadila. Malou-o bijou. Bomba, bomba, mabe. Na vanda bombanda. Libala ya bana na bana. Lisolo ya Adamu na Nzambe. Mama na Bebe. Meta Mama na Bana. Mbongo	2 Schallpl. in Album ; 33 UpM, Stereo ; 30 cm	R 1865	360.114 B & 360.115 B	1978	[Paris]	African	Musik, Kongo, Populäre Musik	2004/351	Matrix-Nr.: 360114A JSI;360114B JSI;360115A JSI;360115B JSI - "Enregistrement Original, Fonior S.A., Belgique, ℗ 1978"	1034498649	028E		Franco <Musiker>	1938-1989	3015656-7	029E		Tout-Puissant OK Jazz		
121698912	R 902 121698912	-7.05 / -7.58	Phénomène : la reine Cléopatre / Mbilia Bel	Enth.: Phénomène. Manzil-Manzil. Cher ami. Mayavale. Tika-Bazuwa. Sans frontière	1 Schallpl. ; 33 UpM, stereo ; 30 cm	R 902	MCB 001	1988	Montigny les Cormeilles	Creation PIM 2001 Willybiro	Musik, Kongo, Populäre Musik	71.294	Matrixnummern: AM MCB 001 A2, AM MCB 001 B2	1074023617	028E		Bel, M'bilia	1959-	
121910601	R 1860 121910601	-9.42 / -9.68	Seigneur Ley on Tour / Tabu Ley et Orchestre Afrisa International	Enth.: Vol.1: Ponce Pilate. Kiyedi. Balingaka Ngai. Safi Zena. Vol. 2: Sorozo. Ibrahim. Sukaina. Nakoka.	2 Schallpl. in Album ; 33 UpM ; 30 cm	R 1860	360.119 B + 360.120 B	1978	Paris	African	Musik, Kongo, Populäre Musik			134782542	028E		Ley, Tabu	1940-2013	3028408-9	029E		Afrisa International Orchestra		
121912388	R 2358 121912388	-6.92 / -7.44	M'Bombo / Tshala Muana	Mbombo. Sitambili. Mady. Tshikombo. Mam Wenu. Kashama	1 Schallpl. ; 33 UpM ; 30 cm	R 2358	KL 056	1988	[S.l.], Paris	Eds. Kaluila, Gefraco (Distr.)	Musik, Kongo, Populäre Musik	2004/355		1022346229	028E		Muana, Tshala	1958-	
121927938	R 2365 121927938	-7.12 / -7.79	Chagrin - Dimone / Defao de Choc Stars	Enth.: Chagrin - Dimone. Sans suite. Bebula adieu. Kitoko monument (Clesh). Mora Ndombe.	1 Schallpl. ; 33 UpM ; 30 cm	R 2365	KL 013	1988	[S.l.], Paris	Eds. Kaluila, Gefraco (Distr.)	Musik, Kongo, Populäre Musik	2004/327		103434675X	028E		Defao	1958-	3017839-3	029E		Choc Stars		
12192999X	R 2348 12192999X	-5.02 / -7.06	Beatrice Adele / Soukous Gang Musika. Monsieur Jaques & Mick Jo Lusala	Enth.: Beatrice Adele. General Knowledge. Amitie Janine Odja. The Feeling	1 Schallpl. ; 33 UpM, stereo ; 30 cm	R 2348	NP 1001	1992	[S.l.], London	Nubian Productions, Stern's Records (Distr.)	Musik, Kongo, Soukous, Populäre Musik	2004/344			028E		Monsieur Jaques		107942735X	028E/01		Lusala, Mick Jo		3058910-1	029E		Soukous Gang Musika		
121930335	R 2215 121930335	-7.34 / -7.78	Gérant / Pepe Kalle	Enth.: Gérant. Milla (version stade). Shikamo Seye - Pedro. Zonga aime. Beli Seyo. Muyenga	1 Schallpl. ; 33 UpM, stereo ; 30 cm	R 2215	38112-1	1991	[S.l.]	Syllart Production	Musik, Kongo, Populäre Musik	2004/328		138677433	028E		Pépé Kallé	1951-1998	
121930505	R 2363 121930505	-2.57 / -6.45	Toleki bango (miles ahead) / Classic Swédé Swédé	Enth.: Nalanda te. Ekokolo. Yogo. Bipale ya nini. Kombe kombe	1 Schallpl. ; 33 UpM ; 30 cm	R 2363	CRAW 1LP	1991	Brussels	Crammed Discs	Musik, Kongo, Populäre Musik	2004/329		3058911-3	029E		Classic Swédé Swédé		
122024680	R 2350 122024680	-7.61 / -7.97	Le phénomène / Lucide-Galant	Enth.: Je reviens de loin. Mbemba. Nokomi kobanga. Sans anesthésie. Oyo vie ya scandale. Arriviste ya Panama. L'éspoir fait vivre. Amour Adjina	1 Schallpl. ; 33 UpM, stereo ; 30 cm	R 2350	70 202	1990	[Bagneux], Paris	Lilian Ma-Ta-Vi Productions, Sonodisc (Distr.)	Musik, Kongo, Populäre Musik	2004/276			028C		Ma-Ta-Vi, Lilian		1060584751	028E		Galant, Lucide		
122024850	R 2046 122024850	-10.05 / -10.06	L'évenement! Rochereau et Franco à Paris / Tabu Ley Rocheraeu et Franco Luambo Makiadi	Enth.: Ngungi. Omona Wapi. Lisanga ya ba Nganga. Kabassele in Memoriam.	1 Schallpl. ; 33 UpM, stereo ; 30 cm	R 2046	GEN 103	1983	Brazzaville, Paris	Genidia, Sonodisc (Distr.)	Musik, Kongo, Populäre Musik	2004/272	Matrix-Nr.: MPO  I GEN103A;MPO I GEN103B	134782542	028C		Ley, Tabu	1940-2013	1034498649	028E		Franco <Musiker>	1938-1989	3028408-9	029E		Afrisa International Orchestra		
122024982	R 2038 122024982	-7.44 / -7.75	Désolé!!! / Mbilia Bel	Enth.: C'est trop tôt. Santé. Désolé. Zuwa ya Likukuma. Bandundu. Wynant. Esroniéyé. Biu-Mando	1 Schallpl. ; 33 UpM, stereo ; 30 cm	R 2038	66887-1	1991	Brazzaville, [S.l.]	Kamara Sound, Celluloid	Musik, Kongo, Populäre Musik	2004/274	Matrixnummern: 66887 1 A, 66887 1 B	1074023617	028E		Bel, M'bilia	1959-	
122025067	R 2039 122025067	-4.05 / -6.06	Beyanga / Mbilia Bel	Enth.: Beyanga. Mano Mongba. Mobali na Ngai Wana. Napika	1 Schallpl. ; 33 UpM, stereo ; 30 cm	R 2039	GEN 120	1986	Brazzaville, Paris	Genidia, Sonodisc (Distr.)	Musik, Kongo, Populäre Musik	2004/273	Matrix-Nr.: 86/ 12 G E N 120  A AM;86 12 GE N 120 B AM	1074023617	028E		Bel, M'bilia	1959-	
122025164	R 903 122025164	-10.05 / -10.06	Boya ye / Mbilia Bel	Enth. außerdem: Boya ye. Tonton Skol. Shawuri yako. Yamba ngai	1 Schallpl. ; 33 UpM, stereo ; 30 cm	R 903	GEN 116	1985	[S.l.]	Genidia	Musik, Kongo, Lingala, Populäre Kultur	55.644	Matrix-Nr.: MPO GEN 116 A Y.D.;MPO GEN 116 B2 Y.D.	1074023617	028E		Bel, M'bilia	1959-	
122025237	R 2041 122025237	-7.54 / -8.19	Keyna et Cadence Mudanda / Mbilia Bel et Tabu Ley	Enth.: Keyna. C'est toi que j'aime. Cadence Mudanda. Nakei Nairobi.	1 Schallpl. ; 33 UpM ; 30 cm	R 2041	GEN 114	1984	Brazzaville, Paris	Genidia, Sonodisc (Distr.)	Musik, Kongo, Populäre Musik	2004/268	Matrix-Nr.: MPO 114 A AM;MPO 114 B AM	134782542	028C		Ley, Tabu	1940-2013	1074023617	028E		Bel, M'bilia	1959-	
122025350	R 2043 122025350	-10.06 / -12.64	Afro International / Jolie Detta	Enth.: Kobange. Osalangai Nini. Banga Infraction. Emati Nzete	1 Schallpl. ; 33 UpM ; 30 cm	R 2043	EVVI 44	1985	Kinshasa, Kinshasa	Izason, Ed. Veve Internat. (Distr.)	Musik, Kongo, Populäre Musik	2004/267		103491118X	028E		Detta, Jolie	1968-2008	
122025571	R 2047 122025571	-10.20 / -9.06	Afrisa L'International / Tabu Ley & l'Orchestre Afrisa	Enth.: Afrisa L'International. Leki ya Mongali...Tosuki wapi. Tete Nakozonga. Marie-Lou. Marie-Lou. Nakwei Carreau. Dialogue. Lal a Biy. Sebene - 182. Libala to Cinema. Mofuku na Libenga	1 Schallpl. ; 33 UpM ; 30 cm	R 2047	360.046	1973	[S.l.], Paris	African, Sonodisc (Distr.)	Musik, Kongo, Populäre Musik	2004/266		134782542	028E		Ley, Tabu	1940-2013	3028408-9	029E		Afrisa International Orchestra		
